strain	strain_name	segment	date	host	country	subtype	virus
JX069801	RSVA/human/USA/A1998-03-02/1998	NA	1998-03-02	Human	USA	A	Human_orthopneumovirus
JQ901447	01_000312	NA	2001-01-03	Human	Netherlands	A	Human_orthopneumovirus
KP856967	RSVA/Homo_sapiens/USA/81E_025_01/1981-XX-XX	NA	1981-XX-XX	Human	USA	A	Human_orthopneumovirus
JX069803	RSVA/human/USA/A2000-03-04/2000	NA	2000-03-04	Human	USA	A	Human_orthopneumovirus
JX069799	RSVA/human/USA/A2001_03_12/2001/GA2	NA	2001-03-13	Human	USA	A	Human_orthopneumovirus
KF530268	RSVA/Homo_sapiens/MEX/59/2007	NA	2007-01-27	Human	Mexico	A	Human_orthopneumovirus
KP663728	HRSV_A/IC688/12	NA	2012-07-16	Human	South_Korea	A	Human_orthopneumovirus
KP856968	RSVA/Homo_sapiens/USA/98I_003A_01/1998-XX-XX	NA	1998-XX-XX	Human	USA	A	Human_orthopneumovirus
KF826840	RSVA/Homo_sapiens/MEX/29/2007	NA	2007-02-16	Human	Mexico	A	Human_orthopneumovirus
JX069798	RSVA/human/USA/A2001-02-20/2001/GA2	NA	2001-02-20	Human	USA	A	Human_orthopneumovirus
JX069802	RSVA/human/USA/A1998_12_21/1998	NA	1998-12-12	Human	USA	A	Human_orthopneumovirus
KP856969	RSVA/Homo_sapiens/USA/79E_495_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	A	Human_orthopneumovirus
KF826836	RSVA/Homo_sapiens/MEX/26/2006	NA	2006-01-04	Human	Mexico	A	Human_orthopneumovirus
KU316142	RSVA/Homo_sapiens/USA/83I_026A_01_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	A	Human_orthopneumovirus
KJ939954	VN_773_4/10	NA	2010-04-20	Human	Viet_Nam	A	Human_orthopneumovirus
KP317953	Kilifi_11862_29_RSVA_2011	NA	2012-03-23	Human	Kenya	A	Human_orthopneumovirus
FJ948820	98_25147_X	NA	1999-12-XX	Human	Netherlands	A	Human_orthopneumovirus
KF826837	RSVA/Homo_sapiens/MEX/27/2006	NA	2006-01-20	Human	Mexico	A	Human_orthopneumovirus
KF826826	RSVA/Homo_sapiens/MEX/23/2004	NA	2004-12-24	Human	Mexico	A	Human_orthopneumovirus
KJ939941	VN_331_4/10	NA	2010-04-21	Human	Viet_Nam	A	Human_orthopneumovirus
KJ939969	VN_834_9/10	NA	2010-09-23	Human	Viet_Nam	A	Human_orthopneumovirus
KJ939944	VN_369_6/10	NA	2010-06-22	Human	Viet_Nam	A	Human_orthopneumovirus
KJ939939	VN_168_10/09	NA	2009-10-15	Human	Viet_Nam	A	Human_orthopneumovirus
KJ939967	VN_832_9/10	NA	2010-09-15	Human	Viet_Nam	A	Human_orthopneumovirus
KJ939955	VN_778_4/10	NA	2010-04-29	Human	Viet_Nam	A	Human_orthopneumovirus
KJ939957	VN_784_5/10	NA	2010-05-17	Human	Viet_Nam	A	Human_orthopneumovirus
KJ939953	VN_767_3/10	NA	2010-03-18	Human	Viet_Nam	A	Human_orthopneumovirus
KJ939945	VN_372_6/10	NA	2010-06-23	Human	Viet_Nam	A	Human_orthopneumovirus
JX069800	RSVA/human/USA/A1997_12_35/1997	NA	1997-12-22	Human	USA	A	Human_orthopneumovirus
KJ939968	VN_833_9/10	NA	2010-09-15	Human	Viet_Nam	A	Human_orthopneumovirus
KJ939960	VN_793_7/10	NA	2010-07-09	Human	Viet_Nam	A	Human_orthopneumovirus
KJ939962	VN_795_7/10	NA	2010-07-13	Human	Viet_Nam	A	Human_orthopneumovirus
