strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	MuV_genotype
Washington.USA/10.17/FH43/G	mumps	Fred_Hutch_seq_43	2017-03-07	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Alabama.USA/50.17/FH156/G	mumps	Fred_Hutch_seq_156	2017-12-XX	North America	Usa	Alabama	Alabama	fh	genome	Moncla et al	?	Unpublished	?	?	G
Texas.USA/15.17/G	mumps	MG986391	2017-04-13	North America	Usa	Texas	Texas	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986391	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Pennsylvania.USA/19.16/G	mumps	MG986458	2016-05-10	North America	Usa	Pennsylvania	Pennsylvania	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986458	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/25.16/5/G	mumps	BCCDC48	2016-06-22	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Ontario.CAN/08.17/2/G	mumps	Ontario_outbreak_24	2017-02-19	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
BritishColumbia.CAN/27.16/4/G	mumps	BCCDC58	2016-07-06	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Pennsylvania.USA/51.14/G	mumps	MG986465	2014-12-16	North America	Usa	Pennsylvania	Pennsylvania	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986465	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/25.17/6/G	mumps	MG986404	2017-06-21	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986404	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/12.17/FH76/G	mumps	Fred_Hutch_seq_76	2017-03-22	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Georgia.USA/13.17/G	mumps	MG986413	2017-03-27	North America	Usa	Georgia	Georgia	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986413	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
NorthCarolina.USA/11.17/FH136/G	mumps	Fred_Hutch_seq_136	2017-03-XX	North America	Usa	North Carolina	North Carolina	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/2.17/FH58/G	mumps	Fred_Hutch_seq_58	2017-01-13	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/29.17/FH83/G	mumps	Fred_Hutch_seq_83	2017-07-26	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/5.17/FH9/G	mumps	Fred_Hutch_seq_9	2017-01-31	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Springdale_745/2016/G	mumps	KY996511	2016-XX-XX	North America	Usa	Arkansas	Arkansas	genbank	genome	Wongsurawat et al	https://www.ncbi.nlm.nih.gov/nuccore/KY996511	Three Complete Genome Sequences of Genotype G Mumps Virus from the 2016 outbreak in Arkansas, USA	Unpublished	?	G
NewYork.USA/8.14/G	mumps	MG986395	2014-02-20	North America	Usa	New York	New York	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986395	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/16.16/8/G	mumps	MF965245	2016-04-21	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965245	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/19.17/FH100/G	mumps	Fred_Hutch_seq_100	2017-05-11	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
