strain	strain_name	segment	date	host	country	ORF2_type	ORF1_type
JN400611	UNKNOWN_JN400611	NA	2007-01-03	Human	Taiwan	GII.4	GII.P4
JN400615	UNKNOWN_JN400615	NA	2007-01-05	Human	Taiwan	GII.4	GII.P4
JN400614	UNKNOWN_JN400614	NA	2007-01-07	Human	Taiwan	GII.4	GII.P4
GQ845024	Hu/GII.4/NSW287R/2007/AUS	NA	2007-XX-XX	Human	Australia	GII.4	GII.P4
JN400612	UNKNOWN_JN400612	NA	2007-01-03	Human	Taiwan	GII.4	GII.P4
JN400613	UNKNOWN_JN400613	NA	2007-04-08	Human	Taiwan	GII.4	GII.P4
JN400610	UNKNOWN_JN400610	NA	2007-01-01	Human	Taiwan	GII.4	GII.P4
AB665364	Hu/GII.4/Osaka/NV2210/2007/JP	NA	2007-02-XX	Human	Japan	GII.4	GII.P4
JQ622197	Hu/GII_4/CBNU2/KR/2007	NA	2007-02-20	Human	South_Korea	GII.4	GII.P4
JN400618	UNKNOWN_JN400618	NA	2009-12-31	Human	Taiwan	GII.4	GII.P4
KM198485	Hu/GII/10148/2009/VNM	NA	2009-08-11	Human	Vietnam	GII.4	GII.P4
KM198575	Hu/GII/20069/2009/VNM	NA	2009-07-16	Human	Vietnam	GII.4	GII.P4
AB933734	Hu/GII.4/Aomori5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4	GII.P4
KM198557	Hu/GII/10194/2009/VNM	NA	2009-10-13	Human	Vietnam	GII.4	GII.P4
KC175409	Hu/Norwalk/20140/2009/VNM	NA	2009-09-08	Human	Vietnam	GII.4	GII.P4
KM198577	Hu/GII/10145/2009/VNM	NA	2009-08-07	Human	Vietnam	GII.4	GII.P4
AB933644	Hu/GII.4/Toyama1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4	GII.P4
KM198499	Hu/GII/20118/2009/VNM	NA	2009-08-28	Human	Vietnam	GII.4	GII.P4
