strain	strain_name	date	country
AF304460	229E	2001-07-11	None
MZ712010	Human coronavirus 229E KBPV-VR-9	2017-06-XX	South Korea
OK625404	Human coronavirus 229E ATCC VR-740	2017-XX-XX	South Korea
KF293664	229E	2013-10-01	Sweden
KF293665	229E	2013-10-01	Sweden
KF293666	229E	2013-10-01	Sweden
OK662398	Human coronavirus 229E TKU-2021B	2021-XX-XX	Finland
X69721	None	2001-07-13	None
KU291448	Human coronavirus 229E HCoV-229E/BN1/GER/2015	2015-XX-XX	Germany
KY369909	Human coronavirus 229E HCoV_229E/Seattle/USA/SC677/2016	2016-XX-XX	USA
KY621348	Human coronavirus 229E HCoV_229E/Seattle/USA/SC379/2016	2016-XX-XX	USA
KY674914	Human coronavirus 229E HCoV_229E/Seattle/USA/SC399/2016	2016-XX-XX	USA
KY369913	Human coronavirus 229E HCoV_229E/Seattle/USA/SC1073/2016	2016-XX-XX	USA
KY369908	Human coronavirus 229E HCoV_229E/Seattle/USA/SC579/2016	2016-XX-XX	USA
KY967357	Human coronavirus 229E HCoV_229E/Seattle/USA/SC2872/2015	2015-XX-XX	USA
KY983587	Human coronavirus 229E HCoV_229E/Seattle/USA/SC3112/2015	2015-XX-XX	USA
MT438697	Human coronavirus 229E HCoV-229E/USA/ACRI_0244/2017	2017-02-24	USA
MT438699	Human coronavirus 229E HCoV-229E/USA/ACRI_0246/2017	2017-02-27	USA
MT438698	Human coronavirus 229E HCoV-229E/USA/ACRI_0256/2017	2017-02-24	USA
MF542265	229E/Haiti-1/2016	2016-03-XX	Haiti
KY684760	Human coronavirus 229E HCoV_229E/Seattle/USA/SC2282/2017	2016-XX-XX	USA
MT118677	Human coronavirus 229E 2018_9879	2018-XX-XX	USA
MW532105	229E/China/05/2017	2017-09-06	China
MW202340	None	2018-XX-XX	USA
LC654446	None	2020-XX-XX	Japan
MN306046	Human coronavirus 229E HCoV_229E/Seattle/USA/SC0865/2019	2019-XX-XX	USA
ON729316	Human coronavirus 229E SC0678	2019-XX-XX	USA
