strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
JF416793	KPIV_06_25	NA	2006-01-05	Human	South_Korea	2	Human_parainfluenza_virus_2	HPIV2
KT898921	Pavia/VR9944/2009	NA	2009-10-XX	Human	Italy	NA	Human_parainfluenza_virus_2	HPIV2
JQ268843	FLE8361	NA	2010-02-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
JF912194	Oklahoma/94/2009-XX-XX	NA	2009-XX-XX	Human	USA	NA	Human_parainfluenza_virus_2	HPIV2
KT315655	HPIV2i/Zagreb.HR/47.11_16406_	NA	2011-10-28	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
JQ268850	FLI1203	NA	2010-05-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
JF912195	Oklahoma/283/2009-XX-XX	NA	2009-XX-XX	Human	USA	NA	Human_parainfluenza_virus_2	HPIV2
KM190939	VIROAF10	NA	2011-06-06	Human	Thailand	NA	Human_parainfluenza_virus_2	HPIV2
JQ268838	FLA9105	NA	2009-06-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
JQ268847	FLA0061	NA	2007-12-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
KT315666	HPIV2i/Zagreb.HR/42.14_1472_	NA	2014-10-17	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
KT315659	HPIV2i/Zagreb.HR/49.11_17034_	NA	2011-11-12	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
KT898923	Pavia/VR9388/2007	NA	2007-12-XX	Human	Italy	NA	Human_parainfluenza_virus_2	HPIV2
HM460888	Riyadh_105/2009-XX-XX	NA	2009-XX-XX	Human	Saudi_Arabia	NA	Human_parainfluenza_virus_2	HPIV2
KT898922	Pavia/VR9324/2007	NA	2007-07-XX	Human	Italy	NA	Human_parainfluenza_virus_2	HPIV2
JQ268848	FLA2053	NA	2007-12-XX	Human	Bolivia	NA	Human_parainfluenza_virus_2	HPIV2
JQ268844	FLA2326	NA	2008-04-XX	Human	Argentina	NA	Human_parainfluenza_virus_2	HPIV2
KT315657	HPIV2i/Zagreb.HR/49.11_16967_	NA	2011-11-09	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
JQ268860	FLI4649	NA	2010-10-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
JQ268846	FLA4014	NA	2008-08-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
