strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV_4/MT/BR27_TVP17913/2012	dengue	KJ579247	2012-04-12	South America	Brazil	Brazil	Brazil	genbank	genome	Zuchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KJ579247	Introduction and Circulation of Dengue Virus Type 4 in the State of Mato Grosso, Brasil, 2012	Unpublished	?
DENV_4/VE/BID_V1161/2007	dengue	EU854301	2007-XX-XX	South America	Venezuela	Venezuela	Venezuela	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU854301	Direct Submission	Submitted (25-JUN-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_4/US/BID_V2441/1998	dengue	FJ882595	1998-XX-XX	North America	Usa	Usa	Usa	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ882595	Direct Submission	Submitted (01-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_4/MT/BR47_TVP17933/2012	dengue	KJ596662	2012-03-23	South America	Brazil	Brazil	Brazil	genbank	genome	Zuchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KJ596662	Introduction and Circulation of Dengue Virus Type 4 in the State of Mato Grosso, Brasil, 2012	Unpublished	?
DENV_4/US/BID_V2435/1996	dengue	GQ199881	1996-XX-XX	North America	Usa	Usa	Usa	genbank	genome	?	?	?	?	?
BR/SJRP/614/2013	dengue	KP188564	2013-01-10	South America	Brazil	Brazil	Brazil	genbank	genome	Vedovello et al	https://www.ncbi.nlm.nih.gov/nuccore/KP188564	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	?
DENV_4/VE/BID_V1160/2007	dengue	FJ182017	2007-XX-XX	South America	Venezuela	Venezuela	Venezuela	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ182017	Direct Submission	Submitted (02-SEP-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
Haiti/0324/2014	dengue	KT276273	2014-09-08	North America	Haiti	Haiti	Haiti	genbank	genome	Lednicky et al	https://www.ncbi.nlm.nih.gov/nuccore/KT276273	Dengue 4 virus from a Haitian child in 2014	Unpublished	?
JMB_006	dengue	MH823210	2014-XX-XX	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Yohan et al	https://www.ncbi.nlm.nih.gov/nuccore/MH823210	Whole genome sequencing of Indonesian dengue virus isolates using next-generation sequencing	Indones J Biotechnol 23 (2), 74-83 (2018)	?
ThD4_0734_00	dengue	AY618993	2000-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Klungthong et al	https://www.ncbi.nlm.nih.gov/nuccore/AY618993	The molecular epidemiology of dengue virus serotype 4 in Bangkok, Thailand	Virology 329 (1), 168-179 (2004)	https://www.ncbi.nlm.nih.gov/pubmed/15476884
INH6412	dengue	JF262781	1995-XX-XX	South America	Venezuela	Venezuela	Venezuela	genbank	genome	Rossi et al	https://www.ncbi.nlm.nih.gov/nuccore/JF262781	Genetic and phenotypic characterization of sylvatic dengue virus type 4 strains	Virology (2011) In press	https://www.ncbi.nlm.nih.gov/pubmed/22178263
DENV_4/US/BID_V2433/1995	dengue	FJ810417	1995-XX-XX	North America	Usa	Usa	Usa	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ810417	Direct Submission	Submitted (09-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_4/MT/BR52_TVP17938/2012	dengue	KJ596665	2012-03-20	South America	Brazil	Brazil	Brazil	genbank	genome	Zuchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KJ596665	Introduction and Circulation of Dengue Virus Type 4 in the State of Mato Grosso, Brasil, 2012	Unpublished	?
