strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
UI17583	dengue	KY849761	2010-07-27	Southeast Asia	Laos	Laos	Laos	genbank	genome	Castonguay-Vanier et al	https://www.ncbi.nlm.nih.gov/nuccore/KY849761	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29377886
98TW407	dengue	DQ675528	1998-XX-XX	China	Taiwan	Taiwan	Taiwan	genbank	genome	King et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ675528	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	https://www.ncbi.nlm.nih.gov/pubmed/18495043
DENV_3/KH/BID_V2053/2008	dengue	FJ639715	2008-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ639715	Direct Submission	Submitted (13-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
ThD3_1687_98	dengue	AY676348	1998-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/AY676348	Clade replacements in dengue virus serotypes 1 and 3 are associated with changing serotype prevalence	J. Virol. 79 (24), 15123-15130 (2005)	https://www.ncbi.nlm.nih.gov/pubmed/16306584
DENV3_3847	dengue	KU509284	2008-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Shihada et al	https://www.ncbi.nlm.nih.gov/nuccore/KU509284	Genetic Diversity and New Lineages of Dengue Virus Serotypes 3 and 4 in Returning Travelers, Germany, 2006-2015	Emerging Infect. Dis. (2017) In press	?
DENV_3/IPC/BID_V4297/2007	dengue	GU131940	2007-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GU131940	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
YN01	dengue	KF824902	2013-XX-XX	China	China	China	China	genbank	genome	Zhao et al	https://www.ncbi.nlm.nih.gov/nuccore/KF824902	Direct Submission	Submitted (07-NOV-2013) Department of Virology, Beijing Institute of Microbiology and Epidemiology, 20 DongdaStreet, Fengtai District, Beijing 100071, China	?
UI17982	dengue	KY849772	2010-08-24	Southeast Asia	Laos	Laos	Laos	genbank	genome	Castonguay-Vanier et al	https://www.ncbi.nlm.nih.gov/nuccore/KY849772	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29377886
D3/Vietnam/9809aTw	dengue	KY670634	1998-09-XX	China	Taiwan	Taiwan	Taiwan	genbank	genome	Yang et al	https://www.ncbi.nlm.nih.gov/nuccore/KY670634	Molecular epidemiology of dengue virus in Taiwan	Unpublished	?
DENV_3/VN/BID_V1891/2007	dengue	FJ461326	2007-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ461326	Direct Submission	Submitted (07-NOV-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/IPC/BID_V3830/2007	dengue	GU131915	2007-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GU131915	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/TH/BID_V2326/2001	dengue	FJ744737	2001-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ744737	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
BDH02_7	dengue	AY496877	2002-XX-XX	South Asia	Bangladesh	Bangladesh	Bangladesh	genbank	genome	Islam et al	https://www.ncbi.nlm.nih.gov/nuccore/AY496877	Molecular Characterization and Clinical Evaluation of Dengue Outbreak in Year 2002 in Bangladesh	Jpn. J. Infect. Dis. (2006) In press	?
DENV_3/TH/BID_V2319/2001	dengue	FJ810413	2001-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ810413	Direct Submission	Submitted (09-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
98TW503	dengue	DQ675531	1998-XX-XX	China	Taiwan	Taiwan	Taiwan	genbank	genome	King et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ675531	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	https://www.ncbi.nlm.nih.gov/pubmed/18495043
KDH0010A	dengue	HG316483	2010-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Fansiri et al	https://www.ncbi.nlm.nih.gov/nuccore/HG316483	Genetic Mapping of Specific Interactions between Aedes aegypti Mosquitoes and Dengue Viruses	PLoS Genet. 9 (8), E1003621 (2013)	https://www.ncbi.nlm.nih.gov/pubmed/23935524
YN02	dengue	KF824903	2013-XX-XX	China	China	China	China	genbank	genome	Zhao et al	https://www.ncbi.nlm.nih.gov/nuccore/KF824903	Direct Submission	Submitted (07-NOV-2013) Department of Virology, Beijing Institute of Microbiology and Epidemiology, 20 DongdaStreet, Fengtai District, Beijing 100071, China	?
DENV_3/VN/BID_V1326/2006	dengue	EU660407	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU660407	Direct Submission	Submitted (17-APR-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/VN/BID_V1329/2006	dengue	EU660409	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU660409	Direct Submission	Submitted (17-APR-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/TH/BID_V2323/2001	dengue	FJ744734	2001-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ744734	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/KH/BID_V2076/2001	dengue	KF955463	2001-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955463	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_3/KH/BID_V3818/2006	dengue	KF955338	2006-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955338	Direct Submission	Submitted (10-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
98TW364	dengue	DQ675524	1998-XX-XX	China	Taiwan	Taiwan	Taiwan	genbank	genome	King et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ675524	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	https://www.ncbi.nlm.nih.gov/pubmed/18495043
JH967	dengue	MF682973	2013-10-09	China	China	China	China	genbank	genome	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/MF682973	Molecular characteristics of the full-length genome of dengue serotype 3 virus strains isolated from dengue fever cases in southwestern border region of Yunnan province, China	Unpublished	?
UI17816	dengue	KY849770	2010-08-12	Southeast Asia	Laos	Laos	Laos	genbank	genome	Castonguay-Vanier et al	https://www.ncbi.nlm.nih.gov/nuccore/KY849770	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29377886
DENV_3/KH/BID_V2081/2003	dengue	FJ639724	2003-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ639724	Direct Submission	Submitted (13-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/TH/BID_V3360/1973	dengue	GQ868593	1973-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	?	?	?	?	?
UI17706	dengue	KY849775	2010-08-05	Southeast Asia	Laos	Laos	Laos	genbank	genome	Castonguay-Vanier et al	https://www.ncbi.nlm.nih.gov/nuccore/KY849775	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29377886
DENV_3/KH/BID_V4307/2007	dengue	JF295012	2007-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/JF295012	Direct Submission	Submitted (27-JAN-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/VN/BID_V1015/2006	dengue	EU482459	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482459	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
KDH0014A	dengue	HG316484	2010-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Fansiri et al	https://www.ncbi.nlm.nih.gov/nuccore/HG316484	Genetic Mapping of Specific Interactions between Aedes aegypti Mosquitoes and Dengue Viruses	PLoS Genet. 9 (8), E1003621 (2013)	https://www.ncbi.nlm.nih.gov/pubmed/23935524
DENV_3/IPC/BID_V3804/2008	dengue	GU131903	2008-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GU131903	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/VN/BID_V1011/2006	dengue	EU482455	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482455	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/IPC/BID_V3826/2007	dengue	GU131912	2007-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GU131912	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/IPC/BID_V3819/2006	dengue	GQ868634	2006-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	?	?	?	?	?
DENV_3/VN/BID_V1821/2007	dengue	KF955457	2007-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955457	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
CNR_15418	dengue	MH888332	2012-07-23	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Touret et al	https://www.ncbi.nlm.nih.gov/nuccore/MH888332	Extended dengue virus panel for antiviral coumpound studies	Unpublished	?
HN/2013/21	dengue	KJ622193	2013-XX-XX	China	China	China	China	genbank	genome	Ma et al	https://www.ncbi.nlm.nih.gov/nuccore/KJ622193	Molecular characterization of the complete genome sequences of dengue virus type 3 newly isolated in Henan, China, 2013	Unpublished	?
DENV_3/IPC/BID_V4282/2007	dengue	GU131934	2007-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GU131934	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/KH/BID_V2088/2005	dengue	FJ639728	2005-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ639728	Direct Submission	Submitted (13-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
mutant_BDH02_04	dengue	DQ401692	2004-XX-XX	South Asia	Bangladesh	Bangladesh	Bangladesh	genbank	genome	Islam et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ401692	Complete nucleotide sequence of dengue virus type 3 isolates of Bangladesh adapted in Vero cells	Unpublished	?
UI17402	dengue	KY849773	2010-07-25	Southeast Asia	Laos	Laos	Laos	genbank	genome	Castonguay-Vanier et al	https://www.ncbi.nlm.nih.gov/nuccore/KY849773	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29377886
