strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV_4/KH/BID_V2058/2008	dengue	KF955513	2008-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955513	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_4/TH/BID_V4335/2007	dengue	KF955534	2007-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955534	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_4/KH/BID_V2057/2007	dengue	KF955512	2007-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955512	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
GZ18XN11706	dengue	MK614093	2018-05-03	China	China	China	China	genbank	genome	Su et al	https://www.ncbi.nlm.nih.gov/nuccore/MK614093	Molecular characterization and phylogenetic analysis of dengue virus serotype 4 in Guangzhou City, 2018	Unpublished	?
DENV_4/TH/BID_V4327/2005	dengue	KF955518	2005-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955518	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_4/TH/BID_V4334/2006	dengue	KF955533	2006-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955533	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
Th16_037DV4	dengue	LC410200	2016-11-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Phadungsombat et al	https://www.ncbi.nlm.nih.gov/nuccore/LC410200	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	?
H781363	dengue	JQ513345	2011-03-18	South America	Brazil	Brazil	Brazil	genbank	genome	Nunes et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ513345	Phylogeography of dengue virus serotype 4, Brazil, 2010-2011	Emerging Infect. Dis. 18 (11), 1858-1864 (2012)	https://www.ncbi.nlm.nih.gov/pubmed/23092706
GZ18XN17096	dengue	MK614090	2018-06-28	China	China	China	China	genbank	genome	Su et al	https://www.ncbi.nlm.nih.gov/nuccore/MK614090	Molecular characterization and phylogenetic analysis of dengue virus serotype 4 in Guangzhou City, 2018	Unpublished	?
UOH_23916	dengue	KX845005	2015-XX-XX	South Asia	India	India	India	genbank	genome	?	?	?	?	?
DENV_4/China/YN/15DGR35_2015_	dengue	KY672958	2015-06-27	China	China	China	China	genbank	genome	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY672958	Molecular characteristics of the full-length genome of dengue serotype 4 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	?
DENV_4/TH/BID_V4331/2006	dengue	KF955522	2006-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955522	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_4/TH/BID_V4332/2006	dengue	KF955531	2006-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955531	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
Th16_006DV4	dengue	LC410197	2016-09-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Phadungsombat et al	https://www.ncbi.nlm.nih.gov/nuccore/LC410197	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	?
ThD4_0348_91	dengue	AY618990	1991-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Klungthong et al	https://www.ncbi.nlm.nih.gov/nuccore/AY618990	The molecular epidemiology of dengue virus serotype 4 in Bangkok, Thailand	Virology 329 (1), 168-179 (2004)	https://www.ncbi.nlm.nih.gov/pubmed/15476884
DSS_patient	dengue	JN638572	2008-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Tuiskunen et al	https://www.ncbi.nlm.nih.gov/nuccore/JN638572	Phenotypic and genotypic characterization of patient Dengue virus isolates of serotype 2, 3, and 4	Unpublished	?
GD09/90	dengue	FJ196850	1990-XX-XX	China	China	China	China	genbank	genome	Wu et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ196850	Molecular epidemiology of dengue viruses in southern China from 1978 to 2006	Virol. J. 8 (1), 322 (2011)	https://www.ncbi.nlm.nih.gov/pubmed/21703015
DENV_4/KH/BID_V4323/2008	dengue	KF955530	2008-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955530	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_4/KH/BID_V2055/2002	dengue	KF955510	2002-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955510	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_4/KH/BID_V2056/2005	dengue	KF955511	2005-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955511	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_4/China/YN/15DGR9_2015_	dengue	KY672956	2015-06-22	China	China	China	China	genbank	genome	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY672956	Molecular characteristics of the full-length genome of dengue serotype 4 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	?
Th16_001DV4	dengue	LC410196	2016-09-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Phadungsombat et al	https://www.ncbi.nlm.nih.gov/nuccore/LC410196	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	?
D4/IND/PUNE/IRSHA_FG_03_S_49_	dengue	MG272274	2016-XX-XX	South Asia	India	India	India	genbank	genome	Shrivastava et al	https://www.ncbi.nlm.nih.gov/nuccore/MG272274	Co-circulation of all the four dengue virus serotypes and detection of a novel clade of DENV-4 (genotype I) virus in Pune, India during 2016 season	PLoS ONE 13 (2), e0192672 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29470509
2013JH285	dengue	MG601754	2013-08-30	China	China	China	China	genbank	genome	Mo et al	https://www.ncbi.nlm.nih.gov/nuccore/MG601754	complete genome sequence and evolutionary analysis of an import dengue virus serotype 4 from Thailand	Unpublished	?
DENV_4/IND/0952326/2009	dengue	JQ922560	2009-XX-XX	South Asia	India	India	India	genbank	genome	Jayashri et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ922560	Evolutionary Dynamics of Dengue Virus in India	Unpublished	?
