strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
D2/FJ/UH40/1971	dengue	HM582100	1971-XX-XX	Oceania	Fiji	Fiji	Fiji	genbank	genome	Steel et al	https://www.ncbi.nlm.nih.gov/nuccore/HM582100	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20663532
DENV2_PR159	dengue	JX966380	1969-XX-XX	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Khoo et al	https://www.ncbi.nlm.nih.gov/nuccore/JX966380	Isolation of midgut escape mutants of two American genotype dengue 2 viruses from Aedes aegypti	Virol. J. 10 (1), 257 (2013)	https://www.ncbi.nlm.nih.gov/pubmed/23937713
D2/TO/UH16/1974	dengue	HM582111	1974-XX-XX	Oceania	Tonga	Tonga	Tonga	genbank	genome	Steel et al	https://www.ncbi.nlm.nih.gov/nuccore/HM582111	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20663532
DENV_2/MX/BID_V3356/1992	dengue	GQ868590	1992-XX-XX	North America	Mexico	Mexico	Mexico	genbank	genome	?	?	?	?	?
D2/TO/UH39/1974	dengue	HM582114	1974-XX-XX	Oceania	Tonga	Tonga	Tonga	genbank	genome	Steel et al	https://www.ncbi.nlm.nih.gov/nuccore/HM582114	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20663532
DENV_2/MX/BID_V3355/1983	dengue	GQ868589	1983-XX-XX	North America	Mexico	Mexico	Mexico	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ868589	Direct Submission	Submitted (03-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
D2/FJ/UH21/1971	dengue	HM582099	1971-XX-XX	Oceania	Fiji	Fiji	Fiji	genbank	genome	Steel et al	https://www.ncbi.nlm.nih.gov/nuccore/HM582099	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20663532
D2/TO/UH94/1974	dengue	HM582116	1974-XX-XX	Oceania	Tonga	Tonga	Tonga	genbank	genome	Steel et al	https://www.ncbi.nlm.nih.gov/nuccore/HM582116	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20663532
D2/PF/UH57/1971	dengue	HM582109	1971-XX-XX	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Steel et al	https://www.ncbi.nlm.nih.gov/nuccore/HM582109	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20663532
DENV_2/HN/BID_V2945/1984	dengue	FJ898449	1984-XX-XX	North America	Honduras	Honduras	Honduras	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ898449	Direct Submission	Submitted (06-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_2/CO/BID_V3358/1986	dengue	GQ868592	1986-XX-XX	South America	Colombia	Colombia	Colombia	genbank	genome	?	?	?	?	?
