strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
SUB_049A	dengue	KY057371	2012-XX-XX	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Sasmono et al	https://www.ncbi.nlm.nih.gov/nuccore/KY057371	Complete genome analysis of dengue virus 1 from Surabaya, Indonesia	Unpublished	?
PF09/090609_76	dengue	JQ915076	2009-06-09	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ915076	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
HawM3430	dengue	DQ672561	2001-XX-XX	North America	Usa	Usa	Usa	genbank	genome	Imrie et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ672561	Homology of complete genome sequences for dengue virus type-1, from dengue-fever- and dengue-haemorrhagic-fever-associated epidemics in Hawaii and French Polynesia	Ann Trop Med Parasitol 104 (3), 225-235 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20507696
D1/Taiwan/900PT0407a	dengue	KX951689	2004-07-XX	China	Taiwan	Taiwan	Taiwan	genbank	genome	?	?	?	?	?
PF07/230407_201	dengue	JQ915071	2007-04-23	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ915071	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
NC04/030704_1994	dengue	JQ915078	2004-07-03	Oceania	New Caledonia	New Caledonia	New Caledonia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ915078	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
SG_EHI_D1/60330Y11	dengue	JN544411	2011-01-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Lo et al	https://www.ncbi.nlm.nih.gov/nuccore/JN544411	Envelope gene sequences of Dengue viruses in Singapore	Unpublished	?
MKS_0486	dengue	KC762653	2008-02-01	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Sasmono et al	https://www.ncbi.nlm.nih.gov/nuccore/KC762653	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25784569
GZ/5700/D1/2007	dengue	KT827366	2007-XX-XX	China	China	China	China	genbank	genome	Bai et al	https://www.ncbi.nlm.nih.gov/nuccore/KT827366	Direct Submission	Submitted (25-SEP-2015) Department of Virology & Immunology, Guangzhou Center for Diseases Control and Prevention, 1 Qide Road, Baiyun District, Guangzhou, Guangdong 510440, China	?
DENV_1/PH/BID_V2940/2004	dengue	GQ868602	2004-XX-XX	Southeast Asia	Philippines	Philippines	Philippines	genbank	genome	?	?	?	?	?
SUB_032A	dengue	KY057368	2012-XX-XX	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	?	?	?	?	?
V9076	dengue	MF033231	2015-03-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033231	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
PF08/080108_88	dengue	KY926849	2008-01-08	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Lequime et al	https://www.ncbi.nlm.nih.gov/nuccore/KY926849	Full-genome dengue virus sequencing in mosquito saliva shows lack of convergent positive selection during transmission by Aedes aegypti	Virus Evol 3 (2), vex031 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/29497564
HawM2540	dengue	DQ672562	2001-XX-XX	North America	Usa	Usa	Usa	genbank	genome	Imrie et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ672562	Homology of complete genome sequences for dengue virus type-1, from dengue-fever- and dengue-haemorrhagic-fever-associated epidemics in Hawaii and French Polynesia	Ann Trop Med Parasitol 104 (3), 225-235 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20507696
SUB_026A	dengue	KY057366	2012-XX-XX	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	?	?	?	?	?
NC02/030602_585	dengue	JQ915077	2002-06-03	Oceania	New Caledonia	New Caledonia	New Caledonia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ915077	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
DENV1_3746	dengue	KU509261	2010-XX-XX	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Shihada et al	https://www.ncbi.nlm.nih.gov/nuccore/KU509261	Genetic Diversity and New Lineages of Dengue Virus Serotypes 3 and 4 in Returning Travelers, Germany, 2006-2015	Emerging Infect. Dis. 23 (2), 272-275 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28098525
MKS_0390	dengue	KC762620	2007-12-13	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Sasmono et al	https://www.ncbi.nlm.nih.gov/nuccore/KC762620	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25784569
GZ2002	dengue	JN205310	2002-09-XX	China	China	China	China	genbank	genome	Fang et al	https://www.ncbi.nlm.nih.gov/nuccore/JN205310	Genomic phylogenetic analysis of one Dengue virus type 1 strain GZ2002 isolated in Guangzhou	Unpublished	?
DenKor_07	dengue	KP406803	2006-XX-XX	Japan Korea	South Korea	South Korea	South Korea	genbank	genome	Go et al	https://www.ncbi.nlm.nih.gov/nuccore/KP406803	Complete Genome Sequences of Three Clinical Isolates of Dengue Virus Serotype 1 from South Korean Travelers	Genome Announc 3 (6), e01388-15 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/26607895
HawO3758	dengue	DQ672563	2001-XX-XX	North America	Usa	Usa	Usa	genbank	genome	Imrie et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ672563	Homology of complete genome sequences for dengue virus type-1, from dengue-fever- and dengue-haemorrhagic-fever-associated epidemics in Hawaii and French Polynesia	Ann Trop Med Parasitol 104 (3), 225-235 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20507696
Reunion_185/04	dengue	DQ285558	2004-XX-XX	Europe	France	Saint Denis	Reunion	genbank	genome	Schuffenecker et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ285558	Dengue fever, Reunion and the Seychelles islands, 2003-2004	Unpublished	?
D1/Taiwan/114TP1611a	dengue	KY496854	2016-11-XX	China	Taiwan	Taiwan	Taiwan	genbank	genome	Yang et al	https://www.ncbi.nlm.nih.gov/nuccore/KY496854	Molecular epidemiology of dengue virus in Taiwan	Unpublished	?
NC09/300509_13639	dengue	JQ915079	2009-05-30	Oceania	New Caledonia	New Caledonia	New Caledonia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ915079	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
PF08/180908_01	dengue	JQ915074	2008-09-18	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ915074	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
PF07/051107_164	dengue	JQ915072	2007-11-05	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ915072	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
