strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
D1/SG/CT25/2012	dengue	KX380802	2012-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Sung et al	https://www.ncbi.nlm.nih.gov/nuccore/KX380802	Extended evaluation of virological, immunological and pharmacokinetic endpoints of CELADEN: a randomized, placebo-controlled trial of celgosivir in dengue fever patients	PLoS Negl Trop Dis (2016)	?
GZ8_53/S/Liwan/2013/DEV1	dengue	KX225487	2015-XX-XX	China	China	China	China	genbank	genome	?	?	?	?	?
R1_J47	dengue	MG721060	2016-XX-XX	South Asia	India	India	India	genbank	genome	Pattabiraman et al	https://www.ncbi.nlm.nih.gov/nuccore/MG721060	Genomes of dengue viruses circulating in south India	Unpublished	?
D1/SG/CT11/2012	dengue	KX380799	2012-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	?	?	?	?	?
SG_EHI_D1/44614Y11	dengue	KR779783	2011-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KR779783	DENV diversity in Singapore	Unpublished	?
V18806	dengue	MF033198	2012-05-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033198	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
RGCB585	dengue	JN903580	2009-04-05	South Asia	India	India	India	genbank	genome	Anoop et al	https://www.ncbi.nlm.nih.gov/nuccore/JN903580	Complete genome sequencing and evolutionary analysis of dengue virus serotype 1 isolates from an outbreak in Kerala, South India	Virus Genes 45 (1), 1-13 (2012)	https://www.ncbi.nlm.nih.gov/pubmed/22729802
DenKor_01	dengue	KP406801	2004-XX-XX	Japan Korea	South Korea	South Korea	South Korea	genbank	genome	?	?	?	?	?
T24_S68	dengue	MH822958	2012-XX-XX	South Asia	India	India	India	genbank	genome	Kar et al	https://www.ncbi.nlm.nih.gov/nuccore/MH822958	Isolation and molecular characterization of Dengue virus clinical isolates from pediatric patients in New Delhi	Int. J. Infect. Dis. (2018) In press	https://www.ncbi.nlm.nih.gov/pubmed/30528666
R1_J10	dengue	MG721063	2016-XX-XX	South Asia	India	India	India	genbank	genome	Pattabiraman et al	https://www.ncbi.nlm.nih.gov/nuccore/MG721063	Genomes of dengue viruses circulating in south India	Unpublished	?
SGEHI_D1_41081Y13	dengue	KM403594	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403594	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
RR121	dengue	JQ692085	2010-XX-XX	South Asia	India	India	India	genbank	genome	Dash et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ692085	Direct Submission	Submitted (21-FEB-2012) Virology Division, Defence Research & Development Establishment, Jhansi Road, Gwalior, MP 474002, India	?
SGEHI_D1_07074Y13	dengue	KM403580	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403580	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
V5044	dengue	MF033234	2015-02-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033234	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
SGEHI_D1_21469Y13	dengue	KM403609	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403609	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
V13085	dengue	MF033251	2016-03-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033251	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
DENV1/CN/GZDF874/2014	dengue	KT187560	2014-XX-XX	China	China	China	China	genbank	genome	Zhan et al	https://www.ncbi.nlm.nih.gov/nuccore/KT187560	Direct Submission	Submitted (17-JUN-2015) Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University, Key Laboratory of Tropical Disease Control, Ministry of Education, W1334, Science & Technology Building, 74 Zhongshan Road Ii, Guangzhou, Guangdong 510080, China	?
RR107	dengue	KF289072	2011-XX-XX	South Asia	India	India	India	genbank	genome	Neeraja et al	https://www.ncbi.nlm.nih.gov/nuccore/KF289072	Investigation of acute dengue infection in southern India employing dengue NS1 specific serological and molecular assays	Int J Recent Sci Res 4 (12), 2001-2008 (2013)	?
Wuhan_3	dengue	KR024707	2014-XX-XX	China	China	China	China	genbank	genome	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/KR024707	Reemergence and Autochthonous Transmission of Dengue Virus, Eastern China, 2014	Emerging Infect. Dis. 21 (9), 1670-1673 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/26292098
SGEHI_D1_23469Y13	dengue	KM403596	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403596	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
GZ/31358/D1/2014	dengue	KT827375	2014-XX-XX	China	China	China	China	genbank	genome	Bai et al	https://www.ncbi.nlm.nih.gov/nuccore/KT827375	Direct Submission	Submitted (25-SEP-2015) Department of Virology & Immunology, Guangzhou Center for Diseases Control and Prevention, 1 Qide Road, Baiyun District, Guangzhou, Guangdong 510440, China	?
RR57	dengue	JQ917404	2009-XX-XX	South Asia	India	India	India	genbank	genome	Dash et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ917404	Direct Submission	Submitted (10-APR-2012) Virology Division, Defence Research & Development Establishment, Jhansi Road, Gwalior, MP 474002, India	?
DENV_1/IND/826883/1982	dengue	JQ922545	1982-XX-XX	South Asia	India	India	India	genbank	genome	Jayashri et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ922545	Evolutionary Dynamics of Dengue Virus in India	Unpublished	?
SGEHI_D1_50837Y13	dengue	KM403626	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403626	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
SGEHI_D1_14150Y13	dengue	KM403585	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403585	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
Gz_7/M/GZ/2014/DEV1	dengue	KX459388	2014-XX-XX	China	China	China	China	genbank	genome	Zhao et al	https://www.ncbi.nlm.nih.gov/nuccore/KX459388	Direct Submission	Submitted (29-JUN-2016) Institute of Infectious Disease, Guangzhou Eighth People's Hospital, 627 East Dongfeng Road, Guangzhou, Guangdong 231567, China	?
SGEHI_D1_05022Y13	dengue	KM403578	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403578	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
V51870	dengue	MF033261	2016-12-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033261	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
RGCB419	dengue	JN903579	2008-10-23	South Asia	India	India	India	genbank	genome	Anoop et al	https://www.ncbi.nlm.nih.gov/nuccore/JN903579	Complete genome sequencing and evolutionary analysis of dengue virus serotype 1 isolates from an outbreak in Kerala, South India	Virus Genes 45 (1), 1-13 (2012)	https://www.ncbi.nlm.nih.gov/pubmed/22729802
V44692	dengue	MF033204	2012-11-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033204	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
SGEHI_D1_23537Y13	dengue	KM403614	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403614	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
V19492	dengue	MF033253	2016-05-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033253	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
Wuhan_2	dengue	KR024706	2014-XX-XX	China	China	China	China	genbank	genome	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/KR024706	Reemergence and Autochthonous Transmission of Dengue Virus, Eastern China, 2014	Emerging Infect. Dis. 21 (9), 1670-1673 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/26292098
V11887	dengue	MF033197	2012-03-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033197	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
SGEHI_D1_16120Y13	dengue	KM403605	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403605	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
V15628	dengue	MF033252	2016-04-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033252	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
SGEHI_D1_15005Y13	dengue	KM403599	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403599	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
ThD1_0442_80	dengue	AY732476	1980-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/AY732476	Clade replacements in dengue virus serotypes 1 and 3 are associated with changing serotype prevalence	J. Virol. 79 (24), 15123-15130 (2005)	https://www.ncbi.nlm.nih.gov/pubmed/16306584
V38661	dengue	MF033226	2014-09-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033226	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
