strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
MKS_3000	dengue	KC762690	2008-08-26	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Sasmono et al	https://www.ncbi.nlm.nih.gov/nuccore/KC762690	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25784569
PF93/200493_110185	dengue	JQ920477	1993-04-20	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ920477	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
PF96/150296_46183	dengue	JQ920479	1996-02-15	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ920479	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
Sleman/78	dengue	AY648961	1978-XX-XX	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Blaney et al	https://www.ncbi.nlm.nih.gov/nuccore/AY648961	Genetically modified, live attenuated dengue virus type 3 vaccine candidates	Am. J. Trop. Med. Hyg. 71 (6), 811-821 (2004)	https://www.ncbi.nlm.nih.gov/pubmed/15642976
WF95/090595_2448	dengue	JQ920489	1995-05-09	Oceania	Wallis And Futuna	French Overseas Collectivity	Wallis And Futuna	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ920489	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
98902890_DF_DV_3	dengue	AB189128	1998-XX-XX	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Dewi et al	https://www.ncbi.nlm.nih.gov/nuccore/AB189128	Genomic analysis and phylogeny of dengue 1, 2 and 3 viruses isolated from patients with different stage of severities in Indonesia	Unpublished	?
MKS_2065	dengue	KC762689	2008-02-15	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Sasmono et al	https://www.ncbi.nlm.nih.gov/nuccore/KC762689	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25784569
NC96/211096_4631	dengue	JQ920485	1996-10-21	Oceania	New Caledonia	New Caledonia	New Caledonia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ920485	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
WF95/050495_1650	dengue	JQ920488	1995-04-05	Oceania	Wallis And Futuna	French Overseas Collectivity	Wallis And Futuna	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ920488	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
NC95/240295_418	dengue	JQ920482	1995-02-24	Oceania	New Caledonia	New Caledonia	New Caledonia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ920482	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
PF96/040996_24881	dengue	JQ920480	1996-09-04	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ920480	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
PF89/320219	dengue	AY744678	1989-XX-XX	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Roche et al	https://www.ncbi.nlm.nih.gov/nuccore/AY744678	Dengue-3 virus genomic differences that correlate with in vitro phenotype on a human cell line but not with disease severity	Microbes Infect. 9 (1), 63-69 (2007)	https://www.ncbi.nlm.nih.gov/pubmed/17196421
NC96/181196_4690	dengue	JQ920486	1996-11-18	Oceania	New Caledonia	New Caledonia	New Caledonia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ920486	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
mutant_InJ_I6_82	dengue	DQ401694	1982-XX-XX	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Islam et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ401694	Complete nucleotide sequence of dengue virus type 3 isolates of Indonesia adapted in Vero cells	Unpublished	?
PF95/190795_20064	dengue	JQ920478	1995-07-19	Oceania	French Polynesia	French Polynesia	French Polynesia	genbank	genome	Aubry et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ920478	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	?
