strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
CNR_16861	dengue	MH888334	2013-01-04	Southeast Asia	Malaysia	Malaysia	Malaysia	genbank	genome	Touret et al	https://www.ncbi.nlm.nih.gov/nuccore/MH888334	Extended dengue virus panel for antiviral coumpound studies	Unpublished	?
Ser1_Thailand_nonBKKSeq_18	dengue	KY586402	2003-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Salje et al	https://www.ncbi.nlm.nih.gov/nuccore/KY586402	Dengue diversity across spatial and temporal scales: local structure and the impact of host population size	Unpublished	?
DENV_2/US/BID_V854/2001	dengue	EU482593	2001-XX-XX	North America	USA	USA	USA	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482593	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_2/PR/19DN/1994	dengue	GQ398307	1994-XX-XX	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	?	?	?	?	?
MKS_2097	dengue	KC762630	2008-02-06	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Sasmono et al	https://www.ncbi.nlm.nih.gov/nuccore/KC762630	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25784569
DC687Y12	dengue	KM279554	2012-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM279554	Clinical Outcome and Genetic Differences within a Monophyletic Dengue Virus Type 2 Population	PLoS ONE 10 (3), E0121696 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25811657
Ser3_Thailand_nonBKK_Seq12	dengue	KY586743	2000-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Salje et al	https://www.ncbi.nlm.nih.gov/nuccore/KY586743	Dengue diversity across spatial and temporal scales: local structure and the impact of host population size	Unpublished	?
DENV_1/IPC/BID_V3775/2006	dengue	GU131887	2006-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GU131887	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_3/NI/BID_V4836/2009	dengue	HQ705618	2009-XX-XX	North America	Nicaragua	Nicaragua	Nicaragua	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/HQ705618	Direct Submission	Submitted (06-DEC-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
Ser1_Thailand_BangkokSeq_51	dengue	KY586371	2000-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	?	?	?	?	?
