strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV_2/BR/BID_V2402/2008	dengue	GQ199890	2008-XX-XX	South America	Brazil	Brazil	Brazil	genbank	genome	?	?	?	?	?
D2/FJ/UH40/1971	dengue	HM582100	1971-XX-XX	Oceania	Fiji	Fiji	Fiji	genbank	genome	Steel et al	https://www.ncbi.nlm.nih.gov/nuccore/HM582100	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20663532
DC740Y12	dengue	KM279560	2012-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM279560	Clinical Outcome and Genetic Differences within a Monophyletic Dengue Virus Type 2 Population	PLoS ONE 10 (3), E0121696 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25811657
DENV_2/VN/BID_V1000/2006	dengue	EU482445	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482445	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_2/VN/BID_V712/2006	dengue	EU482649	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482649	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
19190/BR_PE/10	dengue	JX669478	2010-XX-XX	South America	Brazil	Brazil	Brazil	genbank	genome	Silva et al	https://www.ncbi.nlm.nih.gov/nuccore/JX669478	Molecular characterization of dengue virus circulating in Pernambuco-Brazil:epidemiological implications	Unpublished	?
DC357Y11	dengue	KM279518	2011-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM279518	Clinical Outcome and Genetic Differences within a Monophyletic Dengue Virus Type 2 Population	PLoS ONE 10 (3), E0121696 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25811657
D2/CN/HZ_1003/2017	dengue	MH110564	2017-09-XX	China	China	China	China	genbank	genome	Yu et al	https://www.ncbi.nlm.nih.gov/nuccore/MH110564	Multiple lineages of Dengue virus serotype 2 cosmopolitan genotype caused a local dengue outbreak in Hangzhou, Zhejiang province, China, 2017	Unpublished	?
DENV_2/VN/BID_V733/2006	dengue	EU482670	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482670	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_2/NI/BID_V1219/2007	dengue	EU569700	2007-XX-XX	North America	Nicaragua	Nicaragua	Nicaragua	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU569700	Direct Submission	Submitted (13-MAR-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_2/VN/BID_V713/2006	dengue	EU482650	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482650	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_2/VN/BID_V1845/2008	dengue	FJ461309	2008-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ461309	Direct Submission	Submitted (07-NOV-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
V16681	dengue	KU725663	1964-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Goh et al	https://www.ncbi.nlm.nih.gov/nuccore/KU725663	Molecular determinants of plaque size as an indicator of dengue virus attenuation	Sci Rep 6, 26100 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/27185466
DENV_2/US/BID_V689/1989	dengue	EU482746	1989-XX-XX	North America	USA	USA	USA	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482746	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_2/NI/BID_V1197/2007	dengue	FJ850116	2007-XX-XX	North America	Nicaragua	Nicaragua	Nicaragua	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ850116	Direct Submission	Submitted (19-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
