Accession	Virus	Author	Publication_Title	Journal	Database
OK625565	Hepatitis A-IA	Alam,M.M., Elbadry,M.A., Morris,J.G. Jr. and Lednicky,J.A.	Hepatitis a virus in Haiti	Unpublished	Genbank
MN832786	Hepatitis A-IA	Duraisamy,R., Dean,J., Coughlan,S. and Fanning,S.	Complete genome characterization of Hepatitits A Virus Genotype 1A and 1B from serum of two hepatitis cases	Unpublished	Genbank
MN062164	Hepatitis A-IA	Probert,W.S., Gonzalez,C., Espinosa,A. and Hacker,J.K.	Molecular Genotyping of Hepatitis A Virus, California, USA, 2017-2018	Emerging Infect. Dis. 25 (8), 1594-1596 (2019)	Genbank
MN062165	Hepatitis A-IA	Probert,W.S., Gonzalez,C., Espinosa,A. and Hacker,J.K.	Molecular Genotyping of Hepatitis A Virus, California, USA, 2017-2018	Emerging Infect. Dis. 25 (8), 1594-1596 (2019)	Genbank
MN062166	Hepatitis A-IA	Probert,W.S., Gonzalez,C., Espinosa,A. and Hacker,J.K.	Molecular Genotyping of Hepatitis A Virus, California, USA, 2017-2018	Emerging Infect. Dis. 25 (8), 1594-1596 (2019)	Genbank
LC416593	Hepatitis A-IA	Watanabe,S., Morimoto,N., Miura,K., Takaoka,Y., Nomoto,H., Tsukui,M., Isoda,N., Ohnishi,H., Nagashima,S., Takahashi,M., Okamoto,H. and Yamamoto,H.	Full-genome characterization of the RIVM-HAV16-090-like hepatitis A virus strains recovered from Japanese men who have sex with men, with sporadic acute hepatitis A	Hepatol. Res. (2019) In press	Genbank
LC416594	Hepatitis A-IA	Watanabe,S., Morimoto,N., Miura,K., Takaoka,Y., Nomoto,H., Tsukui,M., Isoda,N., Ohnishi,H., Nagashima,S., Takahashi,M., Okamoto,H. and Yamamoto,H.	Full-genome characterization of the RIVM-HAV16-090-like hepatitis A virus strains recovered from Japanese men who have sex with men, with sporadic acute hepatitis A	Hepatol. Res. (2019) In press	Genbank
LC416595	Hepatitis A-IA	Watanabe,S., Morimoto,N., Miura,K., Takaoka,Y., Nomoto,H., Tsukui,M., Isoda,N., Ohnishi,H., Nagashima,S., Takahashi,M., Okamoto,H. and Yamamoto,H.	Full-genome characterization of the RIVM-HAV16-090-like hepatitis A virus strains recovered from Japanese men who have sex with men, with sporadic acute hepatitis A	Hepatol. Res. (2019) In press	Genbank
LC435031	Hepatitis A-IA	Watanabe,S., Morimoto,N., Miura,K., Takaoka,Y., Nomoto,H., Tsukui,M., Isoda,N., Ohnishi,H., Nagashima,S., Takahashi,M., Okamoto,H. and Yamamoto,H.	Full-genome characterization of the RIVM-HAV16-090-like hepatitis A virus strains recovered from Japanese men who have sex with men, with sporadic acute hepatitis A	Hepatol. Res. (2019) In press	Genbank
LC435032	Hepatitis A-IA	Watanabe,S., Morimoto,N., Miura,K., Takaoka,Y., Nomoto,H., Tsukui,M., Isoda,N., Ohnishi,H., Nagashima,S., Takahashi,M., Okamoto,H. and Yamamoto,H.	Full-genome characterization of the RIVM-HAV16-090-like hepatitis A virus strains recovered from Japanese men who have sex with men, with sporadic acute hepatitis A	Hepatol. Res. (2019) In press	Genbank
