Accession	Virus	Strain	Author	Publication_Title	Journal	Database
KP455262	Enterovirus D68	CAN97-947	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
EF107098	Enterovirus D68	37-99	Smura,T.P., Junttila,N., Blomqvist,S., Norder,H., Kaijalainen,S., Paananen,A., Magnius,L.O., Hovi,T. and Roivainen,M.	Enterovirus 94, a proposed new serotype in human enterovirus species D		Genbank
KP455261	Enterovirus D68	CAN99-1460	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
KP455263	Enterovirus D68	CAN98-1111	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
AY426531	Enterovirus D68	Fermon	Oberste,M.S., Maher,K., Schnurr,D., Flemister,M.R., Lovchik,J.C., Peters,H., Sessions,W., Kirk,C., Chatterjee,N., Fuller,S., Hanauer,J.M. and Pallansch,M.A.	Enterovirus 68 is associated with respiratory illness and shares biological features with both the enteroviruses and the rhinoviruses		Genbank
MN240510	Enterovirus D68	USA/MD/2003-23236	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
MN240499	Enterovirus D68	USA/TX/2003-23223	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
MN240501	Enterovirus D68	USA/MD/2003-23225	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
MN240493	Enterovirus D68	USA/KS/2007-23111	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
MN240491	Enterovirus D68	USA/WI/2006-23109	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
KX255363	Enterovirus D68	EV-D68/Homosapiens/USA/C6944/2006	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
MN240503	Enterovirus D68	USA/WI/2006-23227	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
KP455258	Enterovirus D68	CAN14-314	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
LC629443	Enterovirus D68	TB6-15-Ph427	Okamoto,M., Sakamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Lupisan,S.P., Quiambao,B.P. and Oshitani,H.	Complete Genome Sequences of Enterovirus D68 in the Philippines		Genbank
LC629442	Enterovirus D68	TB9-15-Ph380	Okamoto,M., Sakamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Lupisan,S.P., Quiambao,B.P. and Oshitani,H.	Complete Genome Sequences of Enterovirus D68 in the Philippines		Genbank
LC629444	Enterovirus D68	TB8-15-Ph508	Okamoto,M., Sakamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Lupisan,S.P., Quiambao,B.P. and Oshitani,H.	Complete Genome Sequences of Enterovirus D68 in the Philippines		Genbank
MK989725	Enterovirus D68	20692_52_EV-D68	Agoti, C., Phan, M., et al	Genomic analysis of respiratory syncytial virus infections in households and utility in inferring who infects the infant		Genbank
MH674114	Enterovirus D68	EVD68_SWE_007_140908_NFLG	Dyrdak, R. et al.	Intra- and interpatient evolution of enterovirus D68 during a large outbreak in Stockholm, Sweden 2016		Genbank
MK989724	Enterovirus D68	20692_43_EV-D68	Agoti, C., Phan, M., et al	Genomic analysis of respiratory syncytial virus infections in households and utility in inferring who infects the infant		Genbank
