strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
KJ638522	PHP6764	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ187032	cb113	NA	2013-11-10	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
KJ638503	PHP4924	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608697	29	NA	2005-01-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608692	24	NA	2004-12-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ638490	PHP7081	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638495	PHP6788	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638507	PHP6624	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
JQ406188	QPID08_0008	NA	2003-04-14	Human	Australia	4A	Human_parainfluenza_virus_4	HPIV4
KJ638512	PHP6458	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608694	26	NA	2005-01-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608679	11	NA	2004-07-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ638504	PHP11722	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638513	PHP6018	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608677	9	NA	2004-07-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608693	25	NA	2004-12-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ638486	PHP8961	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608670	2	NA	2004-04-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ638511	PHP10357	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
JQ406190	QPID08_0014	NA	1998-03-05	Human	Australia	4A	Human_parainfluenza_virus_4	HPIV4
KJ638510	PHP6603	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638521	PHP7388	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
JN651405	QPID08_0001	NA	2008-XX-XX	Human	Australia	NA	Human_parainfluenza_virus_4	HPIV4
KJ187014	CU327	NA	2012-03-19	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
FJ608686	18	NA	2004-11-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
JQ406192	QPID08_0011	NA	2007-01-13	Human	Australia	4B	Human_parainfluenza_virus_4	HPIV4
KJ187020	CU439	NA	2012-09-03	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
KJ638509	PHP4946	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608689	21	NA	2004-11-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ638517	PHP5703	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638505	PHP10717	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638488	PHP7958	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ187005	CU53	NA	2011-07-07	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
FJ608700	32	NA	2005-03-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
JQ406193	QPID08_0012	NA	2007-07-20	Human	Australia	4B	Human_parainfluenza_virus_4	HPIV4
KJ638506	PHP6660	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608695	27	NA	2005-01-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
