virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,legible_rate_per_codon,legible_rate_per_gene,standard_gene,legible_gene_name
h3n2,,h3n2,HA1,3.898504661124469,2.9484743812918675,5.298891854155753,"[2.9484743812918675, 5.298891854155753]",329,1.2826080335099503,0.9700480714450244,1.7433354200172424,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,3.9×10⁻³ muts per codon per year,1.28 muts per year,receptor_binding,HA1 (Receptor-Binding)
h1n1pdm,,h1n1pdm,HA1,3.219679667857635,1.4684420732961403,6.400207020752558,"[1.4684420732961403, 6.400207020752558]",327,1.0528352513894468,0.4801805579678379,2.0928676957860866,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,3.22×10⁻³ muts per codon per year,1.05 muts per year,receptor_binding,HA1 (Receptor-Binding)
vic,,vic,HA1,1.2607485982316637,0.7379359239836074,1.8500012114821807,"[0.7379359239836074, 1.8500012114821807]",346,0.4362190149881557,0.2553258296983282,0.6401004191728346,Influenza B/Vic,Orthomyxovirus,#E06E85,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,1.26×10⁻³ muts per codon per year,0.44 muts per year,receptor_binding,HA1 (Receptor-Binding)
yam,,yam,HA1,1.4247924445806526,0.586924600214763,2.5285339967416203,"[0.586924600214763, 2.5285339967416203]",346,0.49297818582490577,0.20307591167430802,0.8748727628726005,Influenza B/Yam,Orthomyxovirus,#ED9AB0,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,1.42×10⁻³ muts per codon per year,0.49 muts per year,receptor_binding,HA1 (Receptor-Binding)
influenzaC,Yamagata,influenzaC_Yamagata,HEF1,0.17695096398800103,-0.013813518443148076,0.45388671256726804,"[-0.013813518443148076, 0.45388671256726804]",432,0.07644281644281645,-0.005967439967439969,0.1960790598290598,Influenza C/Yamagata,Orthomyxovirus,#eb0076,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.18×10⁻³ muts per codon per year,0.08 muts per year,receptor_binding,HEF1 (Receptor-Binding)
measles,,measles,H,0.06658684763252894,0.0,0.17027405481629548,"[0.0, 0.17027405481629548]",618,0.04115067183690288,0.0,0.10522936587647061,Measles,Paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.07×10⁻³ muts per codon per year,0.04 muts per year,receptor_binding,H (Receptor-Binding)
mumps,,mumps,HN,0.01771219184348429,0.0,0.08375614421642087,"[0.0, 0.08375614421642087]",583,0.010326207844751342,0.0,0.04882983207817337,Mumps,Paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.02×10⁻³ muts per codon per year,0.01 muts per year,receptor_binding,HN (Receptor-Binding)
parainfluenza,1,parainfluenza_1,HN,-0.031982438375573394,-0.4313910203051406,0.3581231904118228,"[-0.4313910203051406, 0.3581231904118228]",576,-0.01842188450433028,-0.24848122769576098,0.2062789576772099,Parainfluenza-1,Paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,-0.03×10⁻³ muts per codon per year,-0.02 muts per year,receptor_binding,HN (Receptor-Binding)
parainfluenza,3,parainfluenza_3,HN,0.0,0.0,0.0,"[0.0, 0.0]",573,0.0,0.0,0.0,Parainfluenza-3,Paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,HN (Receptor-Binding)
rsv,A,rsv_A,G,1.8518876007308192,1.2025561547184243,2.781657302058385,"[1.2025561547184243, 2.781657302058385]",298,0.5518625050177841,0.35836173410609046,0.8289338760133987,RSV-A,"Paramyxovirus, pneumovirus",#0B194C,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,1.85×10⁻³ muts per codon per year,0.55 muts per year,receptor_binding,G (Receptor-Binding)
rsv,B,rsv_B,G,2.05271216446711,1.2477281968859393,3.252080638694645,"[1.2477281968859393, 3.252080638694645]",300,0.615813649340133,0.37431845906578176,0.9756241916083935,RSV-B,"Paramyxovirus, pneumovirus",#6C7593,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,2.05×10⁻³ muts per codon per year,0.62 muts per year,receptor_binding,G (Receptor-Binding)
oc43,A,oc43_A,S1,1.620473358204486,1.0294429139477497,2.273579081801936,"[1.0294429139477497, 2.273579081801936]",753,1.220216438727978,0.7751705142026556,1.712005048596858,OC43-A,Coronavirus,#208288,RNA,Positive-sense RNA,True,Respiratory,Sialic acid,Class I,1.62×10⁻³ muts per codon per year,1.22 muts per year,receptor_binding,S1 (Receptor-Binding)
