virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,legible_rate_per_codon,legible_rate_per_gene,standard_gene,legible_gene_name
h3n2,,h3n2,HA1,5.680018022989639,4.068288271255524,7.800221424586907,"[4.068288271255524, 7.800221424586907]",329,1.8687259295635912,1.3384668412430674,2.5662728486890924,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,5.68×10⁻³ muts per codon per year,1.87 muts per year,receptor_binding,HA1 (Receptor-Binding)
h3n2,,h3n2,HA2,1.1192882523318066,0.248579381076671,2.0857609097652,"[0.248579381076671, 2.0857609097652]",221,0.24736270376532926,0.05493604321794429,0.46095316105810924,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,1.12×10⁻³ muts per codon per year,0.25 muts per year,False,HA2
h3n2,,h3n2,NA,3.030863444404525,2.0750953747203558,3.987021991420435,"[2.0750953747203558, 3.987021991420435]",469,1.4214749554257222,0.9732197307438468,1.8699133139761839,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,3.03×10⁻³ muts per codon per year,1.42 muts per year,False,NA
h3n2,,h3n2,NP,0.926819154559996,0.4414668377553739,1.4663185586626568,"[0.4414668377553739, 1.4663185586626568]",499,0.462482758125438,0.22029195203993157,0.7316929607726658,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.93×10⁻³ muts per codon per year,0.46 muts per year,False,NP
h3n2,,h3n2,PA,0.5343826331125257,0.1670860049435946,0.9204698648593075,"[0.1670860049435946, 0.9204698648593075]",717,0.3831523479416809,0.11980066554455733,0.6599768931041234,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.53×10⁻³ muts per codon per year,0.38 muts per year,False,PA
h3n2,,h3n2,PB1,0.46270397641339517,0.22025319011403444,0.8008742103014723,"[0.22025319011403444, 0.8008742103014723]",758,0.3507296141213535,0.1669519181064381,0.607062651408516,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.46×10⁻³ muts per codon per year,0.35 muts per year,polymerase,PB1 (Polymerase)
h3n2,,h3n2,PB2,0.40337292077513354,0.2061392405687561,0.6532311991723578,"[0.2061392405687561, 0.6532311991723578]",760,0.3065634197891015,0.15666582283225464,0.496455711370992,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.4×10⁻³ muts per codon per year,0.31 muts per year,False,PB2
h1n1pdm,,h1n1pdm,HA1,3.2059402143526023,1.1569916790372123,5.311628779687912,"[1.1569916790372123, 5.311628779687912]",327,1.048342450093301,0.3783362790451684,1.7369026109579473,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,3.21×10⁻³ muts per codon per year,1.05 muts per year,receptor_binding,HA1 (Receptor-Binding)
h1n1pdm,,h1n1pdm,HA2,0.5625779816662615,0.0,1.7169993492411866,"[0.0, 1.7169993492411866]",222,0.12489231192991006,0.0,0.3811738555315434,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.56×10⁻³ muts per codon per year,0.12 muts per year,False,HA2
h1n1pdm,,h1n1pdm,NA,4.072616615751647,2.3427465374400622,6.172765862722342,"[2.3427465374400622, 6.172765862722342]",470,1.9141298094032742,1.1010908725968291,2.9011999554795005,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,4.07×10⁻³ muts per codon per year,1.91 muts per year,False,NA
h1n1pdm,,h1n1pdm,NP,0.7327907994748764,0.07371115423000237,1.6846260978334089,"[0.07371115423000237, 1.6846260978334089]",499,0.3656626089379633,0.03678186596077118,0.8406284228188711,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.73×10⁻³ muts per codon per year,0.37 muts per year,False,NP
h1n1pdm,,h1n1pdm,PA,0.2602212254533912,-0.0008163033291101846,1.146364375000988,"[-0.0008163033291101846, 1.146364375000988]",717,0.18657861865008152,-0.0005852894869720023,0.8219432568757084,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.26×10⁻³ muts per codon per year,0.19 muts per year,False,PA
