strain	strain_name	date	segment	country	host
LC720291.1	Influenza C virus C/Fukushima/O181/2018 viral cRNA, segment 3, nearly complete sequence	2018-XX-XX	P3	Japan	Homo sapiens LC720291.1
MH828692.1	Influenza C virus (C/Vietnam/1290/2014) segment 3 polymerase P3 (P3) gene, complete cds	2014-04-16	P3	Viet Nam	Homo sapiens MH828692.1
MZ330885.1	Influenza C virus (C/Biliran/TB2-162/2014) segment 3 polymerase P3 (P3) gene, complete cds	2014-06-25	P3	Philippines	Homo sapiens MZ330885.1
MZ330892.1	Influenza C virus (C/Biliran/TB2-180/2014) segment 3 polymerase P3 (P3) gene, complete cds	2014-07-07	P3	Philippines	Homo sapiens MZ330892.1
MZ330899.1	Influenza C virus (C/Biliran/TB2-204/2014) segment 3 polymerase P3 (P3) gene, complete cds	2014-07-24	P3	Philippines	Homo sapiens MZ330899.1
MZ330906.1	Influenza C virus (C/Biliran/TB2-293/2014) segment 3 polymerase P3 (P3) gene, complete cds	2014-10-02	P3	Philippines	Homo sapiens MZ330906.1
MZ330913.1	Influenza C virus (C/Biliran/TB4-024/2017) segment 3 polymerase P3 (P3) gene, complete cds	2017-05-16	P3	Philippines	Homo sapiens MZ330913.1
MZ330920.1	Influenza C virus (C/Biliran/TB4-067/2017) segment 3 polymerase P3 (P3) gene, complete cds	2017-06-15	P3	Philippines	Homo sapiens MZ330920.1
MZ330927.1	Influenza C virus (C/Biliran/TB4-130/2018) segment 3 polymerase P3 (P3) gene, complete cds	2018-03-27	P3	Philippines	Homo sapiens MZ330927.1
MZ330934.1	Influenza C virus (C/Biliran/TB4-169/2018) segment 3 polymerase P3 (P3) gene, complete cds	2018-04-24	P3	Philippines	Homo sapiens MZ330934.1
MZ330941.1	Influenza C virus (C/Biliran/TB4-271/2019) segment 3 polymerase P3 (P3) gene, complete cds	2019-07-08	P3	Philippines	Homo sapiens MZ330941.1
MZ330948.1	Influenza C virus (C/Biliran/TB5-195/2014) segment 3 polymerase P3 (P3) gene, complete cds	2014-06-02	P3	Philippines	Homo sapiens MZ330948.1
MZ330955.1	Influenza C virus (C/Biliran/TB5-241/2014) segment 3 polymerase P3 (P3) gene, complete cds	2014-06-20	P3	Philippines	Homo sapiens MZ330955.1
MZ330962.1	Influenza C virus (C/Biliran/TB5-312/2017) segment 3 polymerase P3 (P3) gene, complete cds	2017-06-13	P3	Philippines	Homo sapiens MZ330962.1
MZ330969.1	Influenza C virus (C/Biliran/TB5-498/2016) segment 3 polymerase P3 (P3) gene, complete cds	2016-06-29	P3	Philippines	Homo sapiens MZ330969.1
MZ330976.1	Influenza C virus (C/Biliran/TB5-536/2016) segment 3 polymerase P3 (P3) gene, complete cds	2016-07-18	P3	Philippines	Homo sapiens MZ330976.1
MZ330983.1	Influenza C virus (C/Biliran/TB5-625/2016) segment 3 polymerase P3 (P3) gene, complete cds	2016-08-23	P3	Philippines	Homo sapiens MZ330983.1
MZ330990.1	Influenza C virus (C/Biliran/TB5-736/2016) segment 3 polymerase P3 (P3) gene, complete cds	2016-10-05	P3	Philippines	Homo sapiens MZ330990.1
MZ330997.1	Influenza C virus (C/Biliran/TB8-250/2014) segment 3 polymerase P3 (P3) gene, complete cds	2014-07-10	P3	Philippines	Homo sapiens MZ330997.1
MZ331004.1	Influenza C virus (C/Palawan/061/2015) segment 3 polymerase P3 (P3) gene, complete cds	2015-07-03	P3	Philippines	Homo sapiens MZ331004.1
MZ331011.1	Influenza C virus (C/Palawan/068/2014) segment 3 polymerase P3 (P3) gene, complete cds	2014-03-18	P3	Philippines	Homo sapiens MZ331011.1
LC603652.1	Influenza C virus C/Yamagata/29/2004 P3 gene for polymerase 3, complete cds	2004-05-25	P3	Japan	Homo sapiens LC603652.1
MK480584.1	Influenza C virus (C/Thailand/c5395_P3_gene/2015) segment 3 polymerase P3 (P3) gene, partial cds	2015-01-07	P3	Thailand	Homo sapiens MK480584.1
MK480591.1	Influenza C virus (C/Thailand/B12597_P3_gene/2015) segment 3 polymerase P3 (P3) gene, partial cds	2015-08-31	P3	Thailand	Homo sapiens MK480591.1
MK480598.1	Influenza C virus (C/Thailand/B12983_P3_gene/2015) segment 3 polymerase P3 (P3) gene, partial cds	2015-09-25	P3	Thailand	Homo sapiens MK480598.1
MK480605.1	Influenza C virus (C/Thailand/CN38_P3_gene/2017) segment 3 polymerase P3 (P3) gene, partial cds	2017-03-07	P3	Thailand	Homo sapiens MK480605.1
MK050102.1	Influenza C virus (C/Seoul/APD462/2015) segment 3 polymerase P3 (P3) gene, complete cds	2015-04-11	P3	South Korea	Homo sapiens MK050102.1
LC327654.1	Influenza C virus (C/Iwate/1/2016) P3 gene for polymerase 3, complete cds	2016-03-XX	P3	Japan	Homo sapiens LC327654.1
LC327661.1	Influenza C virus (C/Iwate/2/2016) P3 gene for polymerase 3, complete cds	2016-05-XX	P3	Japan	Homo sapiens LC327661.1
KT232084.1	Influenza C virus (C/India/P119564/2011) segment 3 polymerase P3 (P3) gene, partial cds	2011-06-10	P3	India	Homo sapiens KT232084.1
LC123500.1	Influenza C virus (C/Greece/1/79) P3 gene for polymerase 3, complete cds	1979-XX-XX	P3	Greece	Homo sapiens LC123500.1
LC123503.1	Influenza C virus (C/Mississippi/80) P3 gene for polymerase 3, complete cds	1980-XX-XX	P3	USA	Homo sapiens LC123503.1
LC123510.1	Influenza C virus (C/Nara/82) P3 gene for polymerase 3, complete cds	1982-XX-XX	P3	Japan	Homo sapiens LC123510.1
LC123517.1	Influenza C virus (C/Yamagata/5/92) P3 gene for polymerase 3, complete cds	1992-11-26	P3	Japan	Homo sapiens LC123517.1
LC123520.1	Influenza C virus (C/Miyagi/3/93) P3 gene for polymerase 3, complete cds	1993-04-13	P3	Japan	Homo sapiens LC123520.1
LC123523.1	Influenza C virus (C/Miyagi/9/96) P3 gene for polymerase 3, complete cds	1996-06-03	P3	Japan	Homo sapiens LC123523.1
LC123524.1	Influenza C virus (C/Yamagata/8/96) P3 gene for polymerase 3, complete cds	1996-06-13	P3	Japan	Homo sapiens LC123524.1
LC123525.1	Influenza C virus (C/Yamagata/13/98) P3 gene for polymerase 3, complete cds	1998-06-08	P3	Japan	Homo sapiens LC123525.1
LC123528.1	Influenza C virus (C/Yamagata/6/2000) P3 gene for polymerase 3, complete cds	2000-03-21	P3	Japan	Homo sapiens LC123528.1
