strain	strain_name	date	segment	country	host
LC123815.1	Influenza C virus (C/Great Lakes/1167/1954) M1, CM2 genes for matrix protein, CM2 protein, complete cds	1954-XX-XX	M	USA	Homo sapiens LC123815.1
LC123816.1	Influenza C virus (C/Johannesburg/4/67) M1, CM2 genes for matrix protein, CM2 protein, complete cds	1967-XX-XX	M	South Africa	Homo sapiens LC123816.1
LC123817.1	Influenza C virus (C/Paris/1/67) M1, CM2 genes for matrix protein, CM2 protein, complete cds	1967-XX-XX	M	France	Homo sapiens LC123817.1
LC123818.1	Influenza C virus (C/Georgia/1/69) M1, CM2 genes for matrix protein, CM2 protein, complete cds	1969-XX-XX	M	USA	Homo sapiens LC123818.1
LC123821.1	Influenza C virus (C/Yamagata/4/92) M1, CM2 genes for matrix protein, CM2 protein, complete cds	1992-11-19	M	Japan	Homo sapiens LC123821.1
LC123822.1	Influenza C virus (C/Yamagata/5/92) M1, CM2 genes for matrix protein, CM2 protein, complete cds	1992-11-26	M	Japan	Homo sapiens LC123822.1
FR671424.1	Influenza C virus (C/JJ/1950) M1 gene for matrix protein and CM2 gene, genomic RNA	1950-XX-XX	M		FR671424.1
AM410042.1	Influenza C virus (C/Johannesburg/1/66) segment 6, complete sequence, genomic RNA	1966-XX-XX	M		AM410042.1
AB099601.1	Influenza C virus (C/Kansas/1/79) M gene for matrix protein (M1), CM2, complete and partial cds	1979-XX-XX	M		AB099601.1
AB099602.1	Influenza C virus (C/Greece/79) M gene for matrix protein (M1), CM2, complete and partial cds	1979-XX-XX	M	Greece	AB099602.1
AB126196.2	Influenza C virus (C/Ann Arbor/1/50) M1, CM2 genes for matrix protein, CM2 protein, complete cds	1950-XX-XX	M		AB126196.2
AB086763.1	Influenza C virus (C/Miyagi/1/90) M and CM2 genes for matrix protein and CM2, complete and partial cds	1990-XX-XX	M		AB086763.1
AB086764.1	Influenza C virus (C/Miyagi/5/91) M and CM2 genes for matrix protein and CM2, complete and partial cds	1991-XX-XX	M		AB086764.1
AB086765.1	Influenza C virus (C/Miyagi/7/91) M and CM2 genes for matrix protein and CM2, complete and partial cds	1991-XX-XX	M		AB086765.1
AB086769.1	Influenza C virus (C/Miyagi/3/93) M and CM2 genes for matrix protein and CM2, complete and partial cds	1993-XX-XX	M		AB086769.1
AB086770.1	Influenza C virus (C/Miyagi/4/93) M and CM2 genes for matrix protein and CM2, complete and partial cds	1993-XX-XX	M		AB086770.1
AB000604.1	Influenza C virus (C/Johannesburg/66) M gene for M1 protein and CM2 protein, complete cds	1966-XX-XX	M		Homo sapiens AB000604.1
AB000610.1	Influenza C virus (C/Hyogo/1/83) M gene for M1 protein and CM2 protein, complete cds	1983-XX-XX	M		Homo sapiens AB000610.1
AB000611.1	Influenza C virus (C/Yamagata/1/86) M gene for M1 protein and CM2 protein, complete cds	1986-XX-XX	M		Homo sapiens AB000611.1
AB000720.1	Influenza C virus (C/Mississippi/80) M gene for M1 protein and CM2 protein, complete cds	1980-XX-XX	M		Homo sapiens AB000720.1
AB000723.1	Influenza C virus (C/Nara/82) M gene for M1 protein and CM2 protein, complete cds	1982-XX-XX	M		Homo sapiens AB000723.1
AB000724.1	Influenza C virus (C/Kyoto/41/82) M gene for M1 protein and CM2 protein, complete cds	1982-XX-XX	M		Homo sapiens AB000724.1
AB000728.1	Influenza C virus (C/Yamagata/9/88) M gene for M1 protein and CM2 protein, complete cds	1988-XX-XX	M		Homo sapiens AB000728.1
D26546.1	Influenza C virus (STRAIN C/TAYLOR/1233/47) genomic RNA for matrix protein (M1), complete cds	1947-XX-XX	M		D26546.1
D16258.1	Influenza C virus (C/Yamagata/64) M RNA for matrix protein, complete cds	1964-XX-XX	M		D16258.1
D16259.1	Influenza C virus (C/Aomori/74) RNA for matrix protein (M1), complete cds	1974-XX-XX	M		D16259.1
D16260.1	Influenza C virus (C/Aichi/1/81) M RNA for matrix protein, complete cds	1981-XX-XX	M		D16260.1
M22038.1	Influenza virus type C (C/JJ/50) matrix protein gene, complete cds	1950-XX-XX	M		M22038.1
