strain	strain_name	date	country	host	genotype	subgenotype
ON585698	None	2018-12-13	Brazil: Jaru, RO	Homo sapiens	A	A1
ON585700	None	2015-06-01	Brazil: Porto Velho, RO	Homo sapiens	A	A1
ON585702	None	2019-02-13	Brazil: Cujubin, RO	Homo sapiens	A	A1
MZ043025	None	2022-10-29	Brazil	Homo sapiens	A	None
MZ043026	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043027	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043028	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043029	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043030	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043031	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043032	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043033	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043034	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043035	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043036	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043037	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043038	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043039	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043040	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043041	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043042	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043043	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043044	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043045	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043046	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043047	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043048	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043049	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043050	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043051	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043052	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043053	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043054	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043055	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043056	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043057	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043058	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043059	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043060	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043061	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043062	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043063	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043064	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043065	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043066	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043067	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043068	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043069	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043070	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043071	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043072	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043073	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043074	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043075	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043076	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043077	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043078	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043079	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043080	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043081	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043082	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043083	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043084	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043085	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043086	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043087	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043088	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043089	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043090	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043091	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043092	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043093	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043094	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043095	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043096	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043097	None	2022-10-29	United Kingdom	Homo sapiens	A	None
OK143477	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	A	A2
OK143478	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	A	A2
OK143481	None	2008-XX-XX	Russia: Moscow	Homo sapiens	A	A2
OK143482	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	A	A2
OK143483	None	2008-XX-XX	Russia: Moscow	Homo sapiens	A	A2
OK143484	None	2008-XX-XX	Russia: Moscow	Homo sapiens	A	A2
OK143492	None	2008-XX-XX	Russia: Moscow	Homo sapiens	A	A2
OK143495	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	A	A2
OK143498	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	A	A2
OK274310	None	2021-03-09	India	Homo sapiens	A	A1
MZ093431	adw2	2019-07-XX	Bangladesh	Homo sapiens	A	None
MT108214	None	2021-08-25	Mexico	None	A	None
MW784518	None	2013-09-03	Gambia	Homo sapiens	A	None
MW567967	None	2021-04-17	Gambia	Homo sapiens	A	None
MW567968	None	2021-04-17	Gambia	Homo sapiens	A	None
MW567969	None	2021-04-17	Gambia	Homo sapiens	A	None
MW567970	None	2021-04-17	Gambia	Homo sapiens	A	None
MW567971	None	2021-04-17	Gambia	Homo sapiens	A	None
MW567972	None	2021-04-17	Gambia	Homo sapiens	A	None
MW567973	None	2021-04-17	Gambia	Homo sapiens	A	None
MW567974	None	2021-04-17	Senegal	Homo sapiens	A	None
MW567975	None	2021-04-17	Senegal	Homo sapiens	A	None
MW567976	None	2021-04-17	Senegal	Homo sapiens	A	None
MW567977	None	2021-04-17	Senegal	Homo sapiens	A	None
MW567978	None	2021-04-17	Senegal	Homo sapiens	A	None
MW567979	None	2021-04-17	Senegal	Homo sapiens	A	None
MW567980	None	2021-04-17	Senegal	Homo sapiens	A	None
MN476099	None	2011-07-30	Kenya	Homo sapiens	A	A1
MN476101	None	2011-07-30	Kenya	Homo sapiens	A	A1
MN476102	None	2011-07-30	Kenya	Homo sapiens	A	A1
LC517161	None	2016-11-01	Japan:Iwate	Homo sapiens	A	A2
MG877723	None	2004-06-02	Argentina	Homo sapiens	A	None
MG877725	None	2015-06-03	Argentina	Homo sapiens	A	None
MT622525	None	2020-08-04	Cameroon	Homo sapiens; male	A	A3
MT210032	None	2018-08-06	South Africa	Homo sapiens	A	None
MT210034	None	2018-11-13	South Africa	Homo sapiens	A	None
MT114170	None	2018-09-01	Bangladesh	Homo sapiens	A	None
LC533934	None	2017-03-31	Japan	Homo sapiens, hepatoma cell line PLC/PRF/5	A	None
MN585096	None	2009-XX-XX	Belgium	Homo sapiens; DRC	A	A8
MN585097	None	2010-XX-XX	Belgium	Homo sapiens; Congolese	A	A8
MN104805	7902	2018-05-01	France	Homo sapiens	A	None
LC519788	None	2010-09-01	Bangladesh:Dhaka	Homo sapiens	A	A1
LC519791	None	2016-09-06	Bangladesh:Dhaka	Homo sapiens	A	A1
LC519794	None	2010-11-01	Bangladesh:Dhaka	Homo sapiens	A	A1
LC519798	None	2010-10-03	Bangladesh:Dhaka	Homo sapiens	A	A1
LC519806	None	2010-10-04	Bangladesh:Dhaka	Homo sapiens	A	A1
LC519811	None	2010-10-04	Bangladesh:Dhaka	Homo sapiens	A	A1
LC519815	None	2010-10-05	Bangladesh:Dhaka	Homo sapiens	A	A1
LC519817	None	2010-10-05	Bangladesh:Dhaka	Homo sapiens	A	A1
LC519819	None	2010-10-05	Bangladesh:Dhaka	Homo sapiens	A	A1
LC519820	None	2010-10-05	Bangladesh:Dhaka	Homo sapiens	A	A1
LC519823	None	2010-10-06	Bangladesh:Dhaka	Homo sapiens	A	A1
MN053840	3670	2018-11-22	France	Homo sapiens	A	None
LC488828	AON	2003-08-23	Japan:Tokyo	Homo sapiens	A	None
LC462120	1-A/Gabon/2017	2017-04-03	Gabon:Lambarene	Homo sapiens	A	None
LC462121	1-B/Gabon/2017	2017-04-03	Gabon:Lambarene	Homo sapiens	A	None
MN544634	None	2001-05-15	Democratic Republic of the Congo	Homo sapiens	A	A3
MH932713	None	2017-07-31	Japan	Homo sapiens	A	None
MK512455	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512456	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512457	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512458	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512459	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512460	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512461	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512462	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512463	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512464	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512465	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512466	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512467	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512468	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512469	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512470	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512471	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512472	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512473	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512474	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512475	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512476	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MK512477	None	2014-XX-XX	Rwanda	Homo sapiens	A	A1
MH580627	None	2011-XX-XX	Cameroon	Homo sapiens	A	None
MH580639	None	2011-XX-XX	Cameroon	Homo sapiens	A	None
MH580642	None	2011-XX-XX	Cameroon	Homo sapiens	A	None
MH580643	None	2011-XX-XX	Cameroon	Homo sapiens	A	None
KT749822	None	2003-XX-XX	Belgium	Homo sapiens	A	None
KT749824	None	1997-XX-XX	Belgium	Homo sapiens	A	None
KT749825	None	2001-XX-XX	Belgium	Homo sapiens	A	None
KT749826	None	2001-XX-XX	Belgium	Homo sapiens	A	None
KT749829	None	1995-XX-XX	Belgium	Homo sapiens	A	None
KT749830	None	2001-XX-XX	Belgium	Homo sapiens	A	None
KT749831	None	1999-XX-XX	Belgium	Homo sapiens	A	None
KT749832	None	2000-XX-XX	Belgium	Homo sapiens	A	None
KT749833	None	2001-XX-XX	Belgium	Homo sapiens	A	None
KT749834	None	2004-XX-XX	Belgium	Homo sapiens	A	None
KT749835	None	2000-XX-XX	Belgium	Homo sapiens	A	None
KT749836	None	2006-XX-XX	Belgium	Homo sapiens	A	None
KT749837	None	2006-XX-XX	Belgium	Homo sapiens	A	None
KT749838	None	2006-XX-XX	Belgium	Homo sapiens	A	None
KT749839	None	2002-XX-XX	Belgium	Homo sapiens	A	None
KT749840	None	2009-XX-XX	Belgium	Homo sapiens	A	None
KT749842	None	2002-XX-XX	Belgium	Homo sapiens	A	None
KT749843	None	2002-XX-XX	Belgium	Homo sapiens	A	None
KT749844	None	2005-XX-XX	Belgium	Homo sapiens	A	None
KT749846	None	2006-XX-XX	Belgium	Homo sapiens	A	None
