Accession	Virus	Strain	Author	Publication_Title	Journal	Database
DQ401694	Dengue (denv3)	mutant_InJ_I6_82	Islam et al	Complete nucleotide sequence of dengue virus type 3 isolates of Indonesia adapted in Vero cells	Unpublished	Genbank
DQ401695	Dengue (denv3)	mutant_PhMH_J1_97	Islam et al	Complete nucleotide sequence of dengue virus type 3 isolates of Philippines adapted in Vero cells	Unpublished	Genbank
AB189128	Dengue (denv3)	98902890_DF_DV_3	Dewi et al	Genomic analysis and phylogeny of dengue 1, 2 and 3 viruses isolated from patients with different stage of severities in Indonesia	Unpublished	Genbank
KC762689	Dengue (denv3)	MKS_2065	Sasmono et al	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	Genbank
KC762688	Dengue (denv3)	MKS_2006	Sasmono et al	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	Genbank
KC762690	Dengue (denv3)	MKS_3000	Sasmono et al	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	Genbank
KC762685	Dengue (denv3)	MKS_0388	Sasmono et al	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	Genbank
AY648961	Dengue (denv3)	Sleman/78	Blaney et al	Genetically modified, live attenuated dengue virus type 3 vaccine candidates	Am. J. Trop. Med. Hyg. 71 (6), 811-821 (2004)	Genbank
AY744679	Dengue (denv3)	PF90/3050	Roche et al	Dengue-3 virus genomic differences that correlate with in vitro phenotype on a human cell line but not with disease severity	Microbes Infect. 9 (1), 63-69 (2007)	Genbank
JQ920487	Dengue (denv3)	WF89/140889_4838	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920481	Dengue (denv3)	NC89/060289_283	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
AY744677	Dengue (denv3)	PF89/27643	Roche et al	Dengue-3 virus genomic differences that correlate with in vitro phenotype on a human cell line but not with disease severity	Microbes Infect. 9 (1), 63-69 (2007)	Genbank
AY744681	Dengue (denv3)	PF90/6056	Roche et al	Dengue-3 virus genomic differences that correlate with in vitro phenotype on a human cell line but not with disease severity	Microbes Infect. 9 (1), 63-69 (2007)	Genbank
AY744680	Dengue (denv3)	PF90/3056	Roche et al	Dengue-3 virus genomic differences that correlate with in vitro phenotype on a human cell line but not with disease severity	Microbes Infect. 9 (1), 63-69 (2007)	Genbank
FJ898455	Dengue (denv3)	DENV_3/CK/BID_V2972/1991	?			Genbank
AY744678	Dengue (denv3)	PF89/320219	Roche et al	Dengue-3 virus genomic differences that correlate with in vitro phenotype on a human cell line but not with disease severity	Microbes Infect. 9 (1), 63-69 (2007)	Genbank
AY744684	Dengue (denv3)	PF92/4190	Roche et al	Dengue-3 virus genomic differences that correlate with in vitro phenotype on a human cell line but not with disease severity	Microbes Infect. 9 (1), 63-69 (2007)	Genbank
AY744682	Dengue (denv3)	PF92/2956	Roche et al	Dengue-3 virus genomic differences that correlate with in vitro phenotype on a human cell line but not with disease severity	Microbes Infect. 9 (1), 63-69 (2007)	Genbank
JQ920476	Dengue (denv3)	PF91/090891_22130	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920477	Dengue (denv3)	PF93/200493_110185	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
AY744685	Dengue (denv3)	PF94/136116	Roche et al	Dengue-3 virus genomic differences that correlate with in vitro phenotype on a human cell line but not with disease severity	Microbes Infect. 9 (1), 63-69 (2007)	Genbank
JQ920478	Dengue (denv3)	PF95/190795_20064	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920488	Dengue (denv3)	WF95/050495_1650	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920479	Dengue (denv3)	PF96/150296_46183	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920480	Dengue (denv3)	PF96/040996_24881	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920483	Dengue (denv3)	NC95/170895_3750	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920482	Dengue (denv3)	NC95/240295_418	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920484	Dengue (denv3)	NC95/271295_4197	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920486	Dengue (denv3)	NC96/181196_4690	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920489	Dengue (denv3)	WF95/090595_2448	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ920485	Dengue (denv3)	NC96/211096_4631	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
DQ863638	Dengue (denv3)	CH53489	Attatippaholkun et al	Complete nucleotide sequence of Thai dengue-3 virus, Bangkok isolate CH53489	Unpublished	Genbank
GQ868593	Dengue (denv3)	DENV_3/TH/BID_V3360/1973	?			Genbank
AY676352	Dengue (denv3)	ThD3_0010_87	Zhang et al	Clade replacements in dengue virus serotypes 1 and 3 are associated with changing serotype prevalence	J. Virol. 79 (24), 15123-15130 (2005)	Genbank
KJ737430	Dengue (denv3)	D83_144	Sarathy et al	A lethal murine infection model for dengue virus 3 in immunocompromised mice leads to systemic disease	Unpublished	Genbank
DQ401692	Dengue (denv3)	mutant_BDH02_04	Islam et al	Complete nucleotide sequence of dengue virus type 3 isolates of Bangladesh adapted in Vero cells	Unpublished	Genbank
DQ401693	Dengue (denv3)	mutant_BDH02_07	Islam et al	Complete nucleotide sequence of dengue virus type 3 isolates of Bangladesh adapted in Vero cells	Unpublished	Genbank
AY496877	Dengue (denv3)	BDH02_7	Islam et al	Molecular Characterization and Clinical Evaluation of Dengue Outbreak in Year 2002 in Bangladesh	Jpn. J. Infect. Dis. (2006) In press	Genbank
AY496873	Dengue (denv3)	BDH02_3	Islam et al	Molecular Characterization and Clinical Evaluation of Dengue Outbreak in Year 2002 in Bangladesh	Jpn. J. Infect. Dis. (2006) In press	Genbank
AY496874	Dengue (denv3)	BDH02_4	Islam et al	Molecular Characterization and Clinical Evaluation of Dengue Outbreak in Year 2002 in Bangladesh	Jpn. J. Infect. Dis. (2006) In press	Genbank
AY496871	Dengue (denv3)	BDH02_1	Islam et al	Molecular characterization and clinical evaluation of dengue outbreak in 2002 in Bangladesh	Jpn. J. Infect. Dis. 59 (2), 85-91 (2006)	Genbank
MH888332	Dengue (denv3)	CNR_15418	Touret et al	Extended dengue virus panel for antiviral coumpound studies	Unpublished	Genbank
KT424097	Dengue (denv3)	Pythium	Cho et al	Direct Submission	Submitted (09-AUG-2015) Department of Agricultural Biotechnology, Seoul National University, 5103-ho, 200-dong, Deahak-dong, Kwanak-gu, Seoul 151-921, Republic of Korea	Genbank
KY849771	Dengue (denv3)	UI16836	Castonguay-Vanier et al	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	Genbank
KY849770	Dengue (denv3)	UI17816	Castonguay-Vanier et al	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	Genbank
KY849761	Dengue (denv3)	UI17583	Castonguay-Vanier et al	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	Genbank
KY849773	Dengue (denv3)	UI17402	Castonguay-Vanier et al	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	Genbank
KY849775	Dengue (denv3)	UI17706	Castonguay-Vanier et al	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	Genbank
KY849772	Dengue (denv3)	UI17982	Castonguay-Vanier et al	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	Genbank
KY849774	Dengue (denv3)	UI18630	Castonguay-Vanier et al	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	Genbank
KY849769	Dengue (denv3)	UI17760	Castonguay-Vanier et al	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	Genbank
MF682974	Dengue (denv3)	MN1302	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 3 virus strains isolated from dengue fever cases in southwestern border region of Yunnan province, China	Unpublished	Genbank
MF682975	Dengue (denv3)	MN1308	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 3 virus strains isolated from dengue fever cases in southwestern border region of Yunnan province, China	Unpublished	Genbank
