Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"11137.1000","Human coronavirus 229E 12MYKL0052",,11137,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;693996;2509480;11137","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Duvinacovirus;Human coronavirus 229E","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E","Partial","12MYKL0052",,,,,,,,,,,,,,,,,,,,,"2016-03-09T00:00:00Z","26928836",,,,,,"KT359732",,,,,,,,1,767,34.028683,1,767,,,,1,,,,,,,,"2012",2012,,"Malaysia","Asia","Malaysia",,"Homo sapiens","Human",,,,"Human",,,,,,"2021-01-27T19:54:28.248Z","2021-01-27T19:54:28.248Z"
"11137.1001","Human coronavirus 229E 12MYKL0106",,11137,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;693996;2509480;11137","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Duvinacovirus;Human coronavirus 229E","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E","Partial","12MYKL0106",,,,,,,,,,,,,,,,,,,,,"2016-03-09T00:00:00Z","26928836",,,,,,"KT359733",,,,,,,,1,767,34.15906,1,767,,,,1,,,,,,,,"2012",2012,,"Malaysia","Asia","Malaysia",,"Homo sapiens","Human",,,,"Human",,,,,,"2021-01-27T19:54:28.309Z","2021-01-27T19:54:28.309Z"
"11137.1002","Human coronavirus 229E 12MYKL0126",,11137,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;693996;2509480;11137","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Duvinacovirus;Human coronavirus 229E","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E","Partial","12MYKL0126",,,,,,,,,,,,,,,,,,,,,"2016-03-09T00:00:00Z","26928836",,,,,,"KT359734",,,,,,,,1,767,34.15906,1,767,,,,1,,,,,,,,"2012",2012,,"Malaysia","Asia","Malaysia",,"Homo sapiens","Human",,,,"Human",,,,,,"2021-01-27T19:54:28.539Z","2021-01-27T19:54:28.539Z"
"11137.1003","Human coronavirus 229E 12MYKL0335",,11137,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;693996;2509480;11137","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Duvinacovirus;Human coronavirus 229E","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E","Partial","12MYKL0335",,,,,,,,,,,,,,,,,,,,,"2016-03-09T00:00:00Z","26928836",,,,,,"KT359735",,,,,,,,1,767,34.28944,1,767,,,,1,,,,,,,,"2012",2012,,"Malaysia","Asia","Malaysia",,"Homo sapiens","Human",,,,"Human",,,,,,"2021-01-27T19:54:29.107Z","2021-01-27T19:54:29.107Z"
"11137.1004","Human coronavirus 229E 12MYKL0367",,11137,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;693996;2509480;11137","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Duvinacovirus;Human coronavirus 229E","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E","Partial","12MYKL0367",,,,,,,,,,,,,,,,,,,,,"2016-03-09T00:00:00Z","26928836",,,,,,"KT359736",,,,,,,,1,767,34.15906,1,767,,,,1,,,,,,,,"2012",2012,,"Malaysia","Asia","Malaysia",,"Homo sapiens","Human",,,,"Human",,,,,,"2021-01-27T19:54:29.956Z","2021-01-27T19:54:29.956Z"
"11137.1005","Human coronavirus 229E 12MYKL0415",,11137,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;693996;2509480;11137","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Duvinacovirus;Human coronavirus 229E","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E","Partial","12MYKL0415",,,,,,,,,,,,,,,,,,,,,"2016-03-09T00:00:00Z","26928836",,,,,,"KT359737",,,,,,,,1,767,34.15906,1,767,,,,1,,,,,,,,"2012",2012,,"Malaysia","Asia","Malaysia",,"Homo sapiens","Human",,,,"Human",,,,,,"2021-01-27T19:54:30.493Z","2021-01-27T19:54:30.493Z"
"11137.1006","Human coronavirus 229E 12MYKL0424",,11137,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;693996;2509480;11137","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Duvinacovirus;Human coronavirus 229E","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E","Partial","12MYKL0424",,,,,,,,,,,,,,,,,,,,,"2016-03-09T00:00:00Z","26928836",,,,,,"KT359738",,,,,,,,1,767,34.15906,1,767,,,,1,,,,,,,,"2012",2012,,"Malaysia","Asia","Malaysia",,"Homo sapiens","Human",,,,"Human",,,,,,"2021-01-27T19:54:30.439Z","2021-01-27T19:54:30.439Z"
"11137.1007","Human coronavirus 229E 12MYKL0543",,11137,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;693996;2509480;11137","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Duvinacovirus;Human coronavirus 229E","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E","Partial","12MYKL0543",,,,,,,,,,,,,,,,,,,,,"2016-03-09T00:00:00Z","26928836",,,,,,"KT359739",,,,,,,,1,767,34.15906,1,767,,,,1,,,,,,,,"2012",2012,,"Malaysia","Asia","Malaysia",,"Homo sapiens","Human",,,,"Human",,,,,,"2021-01-27T19:54:30.693Z","2021-01-27T19:54:30.693Z"
"11137.1008","Human coronavirus 229E 12MYKL0667",,11137,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;693996;2509480;11137","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Duvinacovirus;Human coronavirus 229E","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E","Partial","12MYKL0667",,,,,,,,,,,,,,,,,,,,,"2016-03-09T00:00:00Z","26928836",,,,,,"KT359740",,,,,,,,1,767,34.15906,1,767,,,,1,,,,,,,,"2012",2012,,"Malaysia","Asia","Malaysia",,"Homo sapiens","Human",,,,"Human",,,,,,"2021-01-27T19:56:33.153Z","2021-01-27T19:56:33.153Z"
"11137.1009","Human coronavirus 229E 12MYKL0784",,11137,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;693996;2509480;11137","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Duvinacovirus;Human coronavirus 229E","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E","Partial","12MYKL0784",,,,,,,,,,,,,,,,,,,,,"2016-03-09T00:00:00Z","26928836",,,,,,"KT359741",,,,,,,,1,767,34.028683,1,767,,,,1,,,,,,,,"2012",2012,,"Malaysia","Asia","Malaysia",,"Homo sapiens","Human",,,,"Human",,,,,,"2021-01-27T19:56:33.292Z","2021-01-27T19:56:33.292Z"
