virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,legible_rate_percodon,legible_rate_pergene
measles,,measles,N,0.19871606928987168,0.0,0.5375918404658502,"[0.0, 0.5375918404658502]",526,0.10452465244647251,0.0,0.28277330808503714,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.2×10⁻³ muts per codon per year,0.1 muts per year
measles,,measles,P,0.49538993225787925,0.048427422588639274,1.0956100391995713,"[0.048427422588639274, 1.0956100391995713]",508,0.25165808558700264,0.024601130675028754,0.5565698999133822,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.5×10⁻³ muts per codon per year,0.25 muts per year
measles,,measles,V,0.09066525625600697,0.0,0.3004418708304074,"[0.0, 0.3004418708304074]",300,0.027199576876802092,0.0,0.09013256124912222,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.09×10⁻³ muts per codon per year,0.03 muts per year
measles,,measles,C,0.08460905872136175,0.0,0.27992666625482654,"[0.0, 0.27992666625482654]",187,0.015821893980894647,0.0,0.05234628658965256,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.08×10⁻³ muts per codon per year,0.02 muts per year
measles,,measles,M,0.0,0.0,0.0,"[0.0, 0.0]",336,0.0,0.0,0.0,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
measles,,measles,F,0.03412723421062971,0.0,0.12664729613010564,"[0.0, 0.12664729613010564]",551,0.01880410605005697,0.0,0.0697826601676882,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.03×10⁻³ muts per codon per year,0.02 muts per year
measles,,measles,H,0.14887607811058914,0.0,0.46453696576620107,"[0.0, 0.46453696576620107]",618,0.0920054162723441,0.0,0.2870838448435123,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.15×10⁻³ muts per codon per year,0.09 muts per year
measles,,measles,L,0.06964774897890218,0.00196299179496196,0.14772181745031096,"[0.00196299179496196, 0.14772181745031096]",2184,0.15211068376992237,0.004287174080196921,0.3226244493114791,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.07×10⁻³ muts per codon per year,0.15 muts per year
mumps,,mumps,NC,0.0,0.0,0.0,"[0.0, 0.0]",437,0.0,0.0,0.0,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
mumps,,mumps,V,0.06397306397306399,0.0,0.19191919191919193,"[0.0, 0.19191919191919193]",225,0.014393939393939396,0.0,0.04318181818181819,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.06×10⁻³ muts per codon per year,0.01 muts per year
mumps,,mumps,I,0.08368569415081041,0.0,0.25105708245243136,"[0.0, 0.25105708245243136]",172,0.014393939393939391,0.0,0.043181818181818196,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.08×10⁻³ muts per codon per year,0.01 muts per year
mumps,,mumps,M,0.0,0.0,0.0,"[0.0, 0.0]",376,0.0,0.0,0.0,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
mumps,,mumps,F,0.1855287569573284,0.0,0.5565862708719852,"[0.0, 0.5565862708719852]",539,0.10000000000000002,0.0,0.3,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.19×10⁻³ muts per codon per year,0.1 muts per year
mumps,,mumps,SH,0.24817136886102398,0.0,0.7445141065830722,"[0.0, 0.7445141065830722]",58,0.014393939393939391,0.0,0.04318181818181819,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.25×10⁻³ muts per codon per year,0.01 muts per year
mumps,,mumps,HN,0.01771219184348429,0.0,0.08375614421642087,"[0.0, 0.08375614421642087]",583,0.010326207844751342,0.0,0.04882983207817337,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.02×10⁻³ muts per codon per year,0.01 muts per year
mumps,,mumps,L,-0.0036394625647537962,-0.011686816009316748,0.016236636926292045,"[-0.011686816009316748, 0.016236636926292045]",2262,-0.008232464321473086,-0.026435577813074485,0.03672727272727261,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,-0.0×10⁻³ muts per codon per year,-0.01 muts per year
parainfluenza,1,parainfluenza_1,N,0.08409262613071795,0.0,0.25227787839215393,"[0.0, 0.25227787839215393]",525,0.044148628718626924,0.0,0.13244588615588082,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.08×10⁻³ muts per codon per year,0.04 muts per year
parainfluenza,1,parainfluenza_1,P,0.7441271126365565,0.13034512574227844,1.2923784894981531,"[0.13034512574227844, 1.2923784894981531]",569,0.42340832709020065,0.07416637654735643,0.7353633605244492,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.74×10⁻³ muts per codon per year,0.42 muts per year
parainfluenza,1,parainfluenza_1,C,-0.05664547979958295,-1.0410413715818854,0.801673628420918,"[-1.0410413715818854, 0.801673628420918]",205,-0.011612323358914503,-0.2134134811742865,0.1643430938262882,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,-0.06×10⁻³ muts per codon per year,-0.01 muts per year
parainfluenza,1,parainfluenza_1,M,0.0,0.0,0.0,"[0.0, 0.0]",349,0.0,0.0,0.0,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
parainfluenza,1,parainfluenza_1,F,0.23369647795520732,-0.02081682107895973,0.5410301047679817,"[-0.02081682107895973, 0.5410301047679817]",556,0.1299352417430953,-0.01157415251990161,0.3008127382509978,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.23×10⁻³ muts per codon per year,0.13 muts per year
