Accession	Virus	Author	Publication_Title	Journal	Database
MZ540961	Adenovirus B-3	Liu,W.	Direct Submission	Submitted (12-JUL-2021) State Key Laboratory of Respiratory Disease, GIRD, State Key Laboratory of Respiratory Disease, 195# of Dongfengxi Road, Guangzhou, China, GuangZhou, GUANGDONG 510230, China	Genbank
MH828478	Adenovirus B-3	Lu,L., Robertson,G., Ashworth,J., Pham Hong,A., Shi,T., Ivens,A., Thwaites,G., Baker,S. and Woolhouse,M.	Epidemiology and Phylogenetic Analysis of Viral Respiratory Infections in Vietnam	Front Microbiol 11, 833 (2020)	Genbank
MW686785	Adenovirus B-3	Myers,C.E., Houldcroft,C.J., Roy,S., Margetts,B.K., Best,T., Venturini,C., Guerra-Assuncao,J.A., Williams,C.A., Williams,R., Dunn,H., Hartley,J.C., Rao,K., Rolfe,K.J. and Breuer,J.	Using Whole Genome Sequences to Investigate Adenovirus Outbreaks in a Hematopoietic Stem Cell Transplant Unit	Front Microbiol 12, 667790 (2021)	Genbank
MW686786	Adenovirus B-3	Myers,C.E., Houldcroft,C.J., Roy,S., Margetts,B.K., Best,T., Venturini,C., Guerra-Assuncao,J.A., Williams,C.A., Williams,R., Dunn,H., Hartley,J.C., Rao,K., Rolfe,K.J. and Breuer,J.	Using Whole Genome Sequences to Investigate Adenovirus Outbreaks in a Hematopoietic Stem Cell Transplant Unit	Front Microbiol 12, 667790 (2021)	Genbank
MW686787	Adenovirus B-3	Myers,C.E., Houldcroft,C.J., Roy,S., Margetts,B.K., Best,T., Venturini,C., Guerra-Assuncao,J.A., Williams,C.A., Williams,R., Dunn,H., Hartley,J.C., Rao,K., Rolfe,K.J. and Breuer,J.	Using Whole Genome Sequences to Investigate Adenovirus Outbreaks in a Hematopoietic Stem Cell Transplant Unit	Front Microbiol 12, 667790 (2021)	Genbank
MW686788	Adenovirus B-3	Myers,C.E., Houldcroft,C.J., Roy,S., Margetts,B.K., Best,T., Venturini,C., Guerra-Assuncao,J.A., Williams,C.A., Williams,R., Dunn,H., Hartley,J.C., Rao,K., Rolfe,K.J. and Breuer,J.	Using Whole Genome Sequences to Investigate Adenovirus Outbreaks in a Hematopoietic Stem Cell Transplant Unit	Front Microbiol 12, 667790 (2021)	Genbank
MW748641	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748642	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748643	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748644	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748645	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748646	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748647	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748648	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748649	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748650	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748651	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748652	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748653	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748654	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748655	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748656	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748657	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748658	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748659	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
MW748660	Adenovirus B-3	Duan,Y., Zhu,Y., Chen,X. and Xie,Z.	Direct Submission	Submitted (14-MAR-2021) Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, No. 56, Nanlishi Road, Xicheng District, Beijing 100045, China	Genbank
