Strain	Author	Accession	Originating_Lab	Submitting_Lab	Genbank_Accession	Database	Virus
hCoV-19/21L	?					GISAID	sars2_21L
hCoV-19/Guinea/LFHVG-G0620/2022	"""N’Faly Magassouba et al"	EPI_ISL_12416755	Laboratoire des Fievres Hemorragiques Virales en Guinee, LFHVG	"""Laboratoire des Fievres Hemorragiques Virales en Guinee, LFHVG, and the Bernhard Nocht Institute for Tropical Medicine, BNITM"""		GISAID	sars2_21L
hCoV-19/Mozambique/CERI-KRISP-K037911/2022	Nalia Ismael et al	EPI_ISL_11621077	Instituto Nacional de Saude (INS), Mozambique	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.		GISAID	sars2_21L
hCoV-19/USA/WV-CDC-IBX251559189107/2022	Dakota Howard et al	EPI_ISL_9667116	Infinity Biologix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM572111.1	GISAID	sars2_21L
hCoV-19/Zambia/CHAZ-CHS2034/2022	Shempela. D et al	EPI_ISL_13228475	ZNPHL	CHAZ Laboratory		GISAID	sars2_21L
hCoV-19/Mozambique/PIM0014513-A10/2022	Sofia Viegas et al	EPI_ISL_11325779	Biotecnology and Genetics Laboratory - Instituto Nacional de Saúde	Biotecnology and Genetics Laboratory - Instituto Nacional de Saúde		GISAID	sars2_21L
hCoV-19/Mozambique/INS-PMB0593670/2022	Sofia Viegas et al	EPI_ISL_12511458	Biotecnology and Genetics Laboratory - Instituto Nacional de Saúde	Biotecnology and Genetics Laboratory - Instituto Nacional de Saúde		GISAID	sars2_21L
hCoV-19/Mozambique/INS-PMB0594670/2022	Sofia Viegas et al	EPI_ISL_12511460	Biotecnology and Genetics Laboratory - Instituto Nacional de Saúde	Biotecnology and Genetics Laboratory - Instituto Nacional de Saúde		GISAID	sars2_21L
hCoV-19/Ukraine/Kyiv_173/2022	Alla Mironenko et al	EPI_ISL_12249380	Department of Respiratory and other Viral Infections of L.V.Gromashevsky Institute of Epidemiology & Infectious Diseases NAMS of Ukrainе	"Department of Respiratory and other Viral Infections of L.V.Gromashevsky Institute of Epidemiology & Infectious Diseases NAMS of Ukrainе, JSC ""Farmak"""		GISAID	sars2_21L
hCoV-19/SouthAfrica/UFS-030222NB58/2022	PA Bester et al	EPI_ISL_9662352	NHLS Universitas Academic	UFS Virology		GISAID	sars2_21L
hCoV-19/SouthAfrica/NICD-N38518/2022	Amoako DG et al	EPI_ISL_12006306	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/Eswatini/N40473/2022	Maphalala G et al	EPI_ISL_12954388	Mbabane Government Hospital	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/Niger/CE2871/2022	Lagare Adamou et al	EPI_ISL_13285099	CERMES	CERMES		GISAID	sars2_21L
hCoV-19/Russia/MOW-PMVL-DZ-57923774480/2022	Vladimir A. Gushchin et al	EPI_ISL_15863746	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department		GISAID	sars2_21L
hCoV-19/Eswatini/ILRI_M03310/2022	Samuel O. Oyola et al	EPI_ISL_13149312	Public Health Laboratory: COVID-19 Lab	International Livestock Research Institute		GISAID	sars2_21L
hCoV-19/Kosovo/CO-00664-XXK000_237_NIPH_Jan_2022/2022	Xhevat Jakupi et al	EPI_ISL_11324601	Department of Microbiology, National Institute of Public Health of Kosovo	Department of Microbiology, National Institute of Public Health of Kosovo		GISAID	sars2_21L
