Accession	Virus	Author	Publication_Title	Journal	Database
AF304460	229E	Thiel,V., Herold,J., Schelle,B. and Siddell,S.G.	Infectious RNA transcribed in vitro from a cDNA copy of the human coronavirus genome cloned in vaccinia virus	J. Gen. Virol. 82 (Pt 6), 1273-1281 (2001)	ViPR-BRC, Genbank
MZ712010	229E	Choi,S., Kim,K.W., Ku,K.B., Kim,S.J., Park,C., Park,D., Kim,S. and Yi,H.	Human Alphacoronavirus Universal Primers for Genome Amplification and Sequencing	Front Microbiol 13, 789665 (2022)	ViPR-BRC, Genbank
OK625404	229E	Yi,H.	Direct Submission	Submitted (20-OCT-2021) School of Biosystem and Biomedical Science, Korea University, Anam-ro 145, Seongbuk-gu, Seoul 02841, South Korea	ViPR-BRC, Genbank
KF293664	229E	Lundin,A., Dijkman,R., Bergstrom,T., Kann,N., Adamiak,B., Hannoun,C., Kindler,E., Jonsdottir,H., Muth,D., Muller,M., Drosten,C., Thiel,V. and Trybala,E.	A Novel Inhibitor of Human Coronavirus 229E Infectivity Targeting the Membrane-bound Viral RNA Synthesis	Unpublished	ViPR-BRC, Genbank
KF293665	229E	Lundin,A., Dijkman,R., Bergstrom,T., Kann,N., Adamiak,B., Hannoun,C., Kindler,E., Jonsdottir,H., Muth,D., Muller,M., Drosten,C., Thiel,V. and Trybala,E.	A Novel Inhibitor of Human Coronavirus 229E Infectivity Targeting the Membrane-bound Viral RNA Synthesis	Unpublished	ViPR-BRC, Genbank
KF293666	229E	Lundin,A., Dijkman,R., Bergstrom,T., Kann,N., Adamiak,B., Hannoun,C., Kindler,E., Jonsdottir,H., Muth,D., Muller,M., Drosten,C., Thiel,V. and Trybala,E.	A Novel Inhibitor of Human Coronavirus 229E Infectivity Targeting the Membrane-bound Viral RNA Synthesis	Unpublished	ViPR-BRC, Genbank
OK662398	229E	Kolehmainen,P., Jalkanen,P., Heroum,J., Huttunen,M., Toivonen,L., Smura,T., Kakkola,L., Tauriainen,S., Peltola,V. and Julkunen,I.	Serological follow-up study indicates high seasonal coronavirus infection and reinfection rates in early childhood	Unpublished	ViPR-BRC, Genbank
X69721	229E	Herold,J., Raabe,T., Schelle-Prinz,B. and Siddell,S.G.	Nucleotide sequence of the human coronavirus 229E RNA polymerase locus	Virology 195 (2), 680-691 (1993)	ViPR-BRC, Genbank
KU291448	229E	Corman,V.M., Eckerle,I., Memish,Z.A., Liljander,A.M., Dijkman,R., Jonsdottir,H., Juma Ngeiywa,K.J., Kamau,E., Younan,M., Al Masri,M., Assiri,A., Gluecks,I., Musa,B.E., Meyer,B., Muller,M.A., Hilali,M., Bornstein,S., Wernery,U., Thiel,V., Jores,J., Drexler,J.F. and Drosten,C.	Link of a ubiquitous human coronavirus to dromedary camels	Proc. Natl. Acad. Sci. U.S.A. (2016) In press	ViPR-BRC, Genbank
KY369909	229E	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Direct Submission	Submitted (16-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue, Suite 320, Seattle, WA 98102, USA	ViPR-BRC, Genbank
KY621348	229E	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	ViPR-BRC, Genbank
KY674914	229E	Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	ViPR-BRC, Genbank
KY369913	229E	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Direct Submission	Submitted (16-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue, Suite 320, Seattle, WA 98102, USA	ViPR-BRC, Genbank
KY369908	229E	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Direct Submission	Submitted (16-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue, Suite 320, Seattle, WA 98102, USA	ViPR-BRC, Genbank
KY967357	229E	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	ViPR-BRC, Genbank
KY983587	229E	Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	ViPR-BRC, Genbank
MT438697	229E	Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D. and Kennedy,J.L.	Clinical, Genomic, and Phylogenetic Characterization of Common Human Coronaviruses from New Mexico and Arkansas	Unpublished	ViPR-BRC, Genbank
MT438699	229E	Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D. and Kennedy,J.L.	Clinical, Genomic, and Phylogenetic Characterization of Common Human Coronaviruses from New Mexico and Arkansas	Unpublished	ViPR-BRC, Genbank
MT438698	229E	Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D. and Kennedy,J.L.	Clinical, Genomic, and Phylogenetic Characterization of Common Human Coronaviruses from New Mexico and Arkansas	Unpublished	ViPR-BRC, Genbank
MF542265	229E	Bonny,T.S., Subramaniam,K., Waltzek,T.B., Elbadry,M.A., Beau De Rochars,V.M., Telisma,T., Rashid,M., Morris,J.G. Jr. and Lednicky,J.A.	Complete Genome Sequence of Human Coronavirus Strain 229E Isolated from Plasma Collected from a Haitian Child in 2016	Genome Announc 5 (47), e01313-17 (2017)	ViPR-BRC, Genbank
KY684760	229E	Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	ViPR-BRC, Genbank
MT118677	229E	Addetia,A. and Greninger,A.L.	Genome sequences of viral isolates from UW Virology	Unpublished	ViPR-BRC, Genbank
MW532105	229E	Wang,Y., Zhang,Z., Zhang,L., Zhang,S. and Zhao,J.	Direct Submission	Submitted (24-JAN-2021) The First Affiliated Hospital of Guangzhou Medical University, State Key Laboratory of Respiratory Disease, Guangzhou Institute of Respiratory Health, No. 195 Dongfeng Xi Road, Yuexiu District, Guangzhou, Guangdong 510182, China	ViPR-BRC, Genbank
MW202340	229E	Rajagopala,S., Bakhoum,N., Pakala,S., Shilts,M., Rosas-Salazar,C., Mai,A., Boone,H., McHenry,R., Yooseph,S., Halasa,N. and Das,S.	Metatranscriptomics to characterize respiratory virome, microbiome, and host response directly from clinical samples	Res Sq (2020) In press	ViPR-BRC, Genbank
LC654446	229E	Shirato,K., Kakizaki,M., Tomita,Y., Kawase,M. and Takeda,M.	Detection of the ORF1 Gene Is an Indicator of the Possible Isolation of Severe Acute Respiratory Syndrome Coronavirus 2	Pathogens 11 (3), 302 (2022)	ViPR-BRC, Genbank
MN306046	229E	Lin,M.J., Tait,A. and Greninger,A.L.	Genome sequences of clinical viruses from UW Virology	Unpublished	ViPR-BRC, Genbank
ON729316	229E	Sereewit,J., Xie,H. and Greninger,A.	Genome sequences of clinical viruses from UW Virology	Unpublished	ViPR-BRC, Genbank
MW587037	229E	Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C. and Zhang,Y.-Z.	Characterization of Total Respiratory Infectomes in pre-COVID-19 Wuhan, China	Unpublished	ViPR-BRC, Genbank
