Accession	Virus	Author	Publication_Title	Journal	Database
OK323264	Adenovirus B-7	Li,P.	Direct Submission	Submitted (20-SEP-2021) Biosafety Department, Center for Disease Control and Prevention of PLA, 20 DongDa Street, Fengtai District, Beijing, Beijing 100071, China	Genbank
OK323265	Adenovirus B-7	Li,P.	Direct Submission	Submitted (20-SEP-2021) Biosafety Department, Center for Disease Control and Prevention of PLA, 20 DongDa Street, Fengtai District, Beijing, Beijing 100071, China	Genbank
OK323266	Adenovirus B-7	Li,P.	Direct Submission	Submitted (20-SEP-2021) Biosafety Department, Center for Disease Control and Prevention of PLA, 20 DongDa Street, Fengtai District, Beijing, Beijing 100071, China	Genbank
OK323267	Adenovirus B-7	Li,P.	Direct Submission	Submitted (20-SEP-2021) Biosafety Department, Center for Disease Control and Prevention of PLA, 20 DongDa Street, Fengtai District, Beijing, Beijing 100071, China	Genbank
OK323268	Adenovirus B-7	Li,P.	Direct Submission	Submitted (20-SEP-2021) Biosafety Department, Center for Disease Control and Prevention of PLA, 20 DongDa Street, Fengtai District, Beijing, Beijing 100071, China	Genbank
MH828479	Adenovirus B-7	Lu,L., Robertson,G., Ashworth,J., Pham Hong,A., Shi,T., Ivens,A., Thwaites,G., Baker,S. and Woolhouse,M.	Epidemiology and Phylogenetic Analysis of Viral Respiratory Infections in Vietnam	Front Microbiol 11, 833 (2020)	Genbank
MW815973	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815974	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815975	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815976	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815977	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815978	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815979	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815980	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815981	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815982	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815983	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815984	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815985	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815986	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815987	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815988	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815989	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815990	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815991	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815992	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815993	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815994	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
MW815995	Adenovirus B-7	Li,Y., Lu,X. and Liu,D.	Epidemic Features and Genome Characterization of Human Adenovirus Type 7 Infections in Hubei, China during 2018-2019	Unpublished	Genbank
