Accession	Virus	Author	Publication_Title	Journal	Database
JN129834	OC43-A	Lau,S.K., Lee,P., Tsang,A.K., Yip,C.C., Tse,H., Lee,R.A., So,L.Y., Lau,Y.L., Chan,K.H., Woo,P.C. and Yuen,K.Y.	Molecular Epidemiology of Human Coronavirus OC43 Reveals Evolution of Different Genotypes over Time and Recent Emergence of a Novel Genotype due to Natural Recombination	J. Virol. 85 (21), 11325-11337 (2011)	ViPR-BRC, Genbank
JN129835	OC43-A	Lau,S.K., Lee,P., Tsang,A.K., Yip,C.C., Tse,H., Lee,R.A., So,L.Y., Lau,Y.L., Chan,K.H., Woo,P.C. and Yuen,K.Y.	Molecular Epidemiology of Human Coronavirus OC43 Reveals Evolution of Different Genotypes over Time and Recent Emergence of a Novel Genotype due to Natural Recombination	J. Virol. 85 (21), 11325-11337 (2011)	ViPR-BRC, Genbank
KF923890	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923907	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923911	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923914	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923912	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923909	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923901	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923919	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923910	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923892	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923920	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923913	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923915	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923891	OC43-A	Zhang,Y., Li,J., Xiao,Y., Zhang,J., Wang,Y., Chen,L., Paranhos-Baccala,G., Ren,L. and Wang,J.	Genotype shift in human coronavirus OC43 and emergence of a novel genotype by natural recombination	J. Infect. (2014) In press	ViPR-BRC, Genbank
KF923894	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KF923917	OC43-A	Zhang,Y., Ren,L. and Wang,J.	The evolution of human coronavirus OC43	Unpublished	ViPR-BRC, Genbank
KY554974	OC43-A	Ogimi,C., Greninger,A.L., Waghmare,A.A., Kuypers,J.M., Shean,R.C., Xie,H., Leisenring,W.M., Stevens-Ayers,T.L., Jerome,K.R., Englund,J.A. and Boeckh,M.	Prolonged Shedding of Human Coronavirus in Hematopoietic Cell Transplant Recipients: Risk Factors and Viral Genome Evolution	J Infect Dis 216 (2), 203-209 (2017)	ViPR-BRC, Genbank
