Accession	Virus	Strain	Author	Publication_Title	Journal	Database
EF457905	Dengue (denv1)	P72_1244	Vasilakis et al	Evolutionary Processes among Sylvatic Dengue Type 2 Viruses	J. Virol. 81 (17), 9591-9595 (2007)	Genbank
MG877557	Dengue (denv1)	Gabon2012	Fontaine et al	Epidemiological significance of dengue virus genetic variation in mosquito infection dynamics	PLoS Pathog. 14 (7), e1007187 (2018)	Genbank
KF864667	Dengue (denv1)	Zj/yw01	Chen et al	Report of isolation of Dengue virus type 1 from serum of patients with imported dengue in Yiwu Zhejing province	Unpublished	Genbank
KF184975	Dengue (denv1)	Angola_2013	Sessions et al	Exploring the origin and potential for spread of the 2013 dengue outbreak in Luanda, Angola	Glob Health Action 6, 21822 (2013)	Genbank
JQ922546	Dengue (denv1)	DENV_1/IND/715393/1971	Jayashri et al	Evolutionary Dynamics of Dengue Virus in India	Unpublished	Genbank
AY713473	Dengue (denv1)	D1Myanmar40553/71	Thu et al	Genome analysis of Dengue 1 strains from humans and mosquitoes in Myanmar	Unpublished	Genbank
AY722801	Dengue (denv1)	D1Myanmar40568/76	Thu et al	Genome analysis of Dengue 1 strains from humans and mosquitoes in Myanmar	Unpublished	Genbank
AY722802	Dengue (denv1)	D1Myanmar23819/96	Thu et al	Genome analysis of Dengue 1 strains from humans and mosquitoes in Myanmar	Unpublished	Genbank
AY722803	Dengue (denv1)	D1Myanmar32514/98	Thu et al	Genome analysis of Dengue 1 strains from humans and mosquitoes in Myanmar	Unpublished	Genbank
AY732476	Dengue (denv1)	ThD1_0442_80	Zhang et al	Clade replacements in dengue virus serotypes 1 and 3 are associated with changing serotype prevalence	J. Virol. 79 (24), 15123-15130 (2005)	Genbank
AY732474	Dengue (denv1)	ThD1_0673_80	Zhang et al	Clade replacements in dengue virus serotypes 1 and 3 are associated with changing serotype prevalence	J. Virol. 79 (24), 15123-15130 (2005)	Genbank
JQ922545	Dengue (denv1)	DENV_1/IND/826883/1982	Jayashri et al	Evolutionary Dynamics of Dengue Virus in India	Unpublished	Genbank
KP406801	Dengue (denv1)	DenKor_01	?			Genbank
KX618706	Dengue (denv1)	V3083	?			Genbank
KX618705	Dengue (denv1)	UOH_21749	Vaddadi et al	Molecular characterization of Dengue virus strains in southern India	Unpublished	Genbank
KJ806950	Dengue (denv1)	SG_EHI_D1/50903Y13	Ng et al	2013 Dengue Outbreaks in Singapore and Malaysia Caused by Different Viral Strains	Am. J. Trop. Med. Hyg. (2015) In press	Genbank
MG721063	Dengue (denv1)	R1_J10	Pattabiraman et al	Genomes of dengue viruses circulating in south India	Unpublished	Genbank
MF033197	Dengue (denv1)	V11887	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
DQ285562	Dengue (denv1)	Comoros_04329/93	Schuffenecker et al	Dengue fever, Reunion and the Seychelles islands, 2003-2004	Unpublished	Genbank
JN544409	Dengue (denv1)	SG_EHI_D1/09106Y11	Lo et al	Envelope gene sequences of Dengue viruses in Singapore	Unpublished	Genbank
JQ922548	Dengue (denv1)	DENV_1/IND/55290/2005	Jayashri et al	Evolutionary Dynamics of Dengue Virus in India	Unpublished	Genbank
EU179860	Dengue (denv1)	DS06_210505	Osman et al	Genetic characterization of dengue virus type 1 isolated in Brunei in 2005-2006	J. Gen. Virol. 90 (PT 3), 678-686 (2009)	Genbank
JN903579	Dengue (denv1)	RGCB419	Anoop et al	Complete genome sequencing and evolutionary analysis of dengue virus serotype 1 isolates from an outbreak in Kerala, South India	Virus Genes 45 (1), 1-13 (2012)	Genbank
JN903580	Dengue (denv1)	RGCB585	Anoop et al	Complete genome sequencing and evolutionary analysis of dengue virus serotype 1 isolates from an outbreak in Kerala, South India	Virus Genes 45 (1), 1-13 (2012)	Genbank
JN903581	Dengue (denv1)	RGCB592	Anoop et al	Complete genome sequencing and evolutionary analysis of dengue virus serotype 1 isolates from an outbreak in Kerala, South India	Virus Genes 45 (1), 1-13 (2012)	Genbank
MF033253	Dengue (denv1)	V19492	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033237	Dengue (denv1)	V22125	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033212	Dengue (denv1)	V50458	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033261	Dengue (denv1)	V51870	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033256	Dengue (denv1)	V31460	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033226	Dengue (denv1)	V38661	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MG721060	Dengue (denv1)	R1_J47	Pattabiraman et al	Genomes of dengue viruses circulating in south India	Unpublished	Genbank
JQ692085	Dengue (denv1)	RR121	Dash et al	Direct Submission	Submitted (21-FEB-2012) Virology Division, Defence Research & Development Establishment, Jhansi Road, Gwalior, MP 474002, India	Genbank
KF289072	Dengue (denv1)	RR107	Neeraja et al	Investigation of acute dengue infection in southern India employing dengue NS1 specific serological and molecular assays	Int J Recent Sci Res 4 (12), 2001-2008 (2013)	Genbank
KU509255	Dengue (denv1)	DENV1_16687	?			Genbank
MH822959	Dengue (denv1)	T28_S69	Kar et al	Isolation and molecular characterization of Dengue virus clinical isolates from pediatric patients in New Delhi	Int. J. Infect. Dis. (2018) In press	Genbank
MH822958	Dengue (denv1)	T24_S68	Kar et al	Isolation and molecular characterization of Dengue virus clinical isolates from pediatric patients in New Delhi	Int. J. Infect. Dis. (2018) In press	Genbank
MF033204	Dengue (denv1)	V44692	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
