Accession	Virus	Strain	Author	Publication_Title	Journal	Database
FJ161211	Measles	IMB-1	Ma et al	Isolation and complete nucleotide sequence of the measles virus IMB-1 strain in China	Virol Sin 25 (6), 381-389 (2010)	Genbank
KJ755977	Measles	Zhejiang.CHN/12.06/2/H1	Jin et al	Evolutionary history of the endemic strains of Chinese Measles virus	Unpublished	Genbank
KJ755978	Measles	Zhejiang.CHN/14.07/1/H1	Jin et al	Evolutionary history of the endemic strains of Chinese Measles virus	Unpublished	Genbank
MG972194	Measles	Zhuhai.CHN/10.17/2/H1	Li et al	Analysis on complete genome sequence of measles viruses in Zhuhai outbreak during 2017	Unpublished	Genbank
KJ755976	Measles	Zhejiang.CHN/10.05/1/H1	Jin et al	Evolutionary history of the endemic strains of Chinese Measles virus	Unpublished	Genbank
MN630021	Measles	Daegu.KOR/20.27/3/H1	Kim et al	Direct Submission	Submitted (30-OCT-2019) Pathogen Resource TF, Center for Infectious Diseases Research, Korea National Institute of Health, Korea Centers for Disease Control and Prevention, #200 Osongsaengmyeong 2-ro, Osong-eup, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do 28160, South Korea	Genbank
KJ755980	Measles	Zhejiang.CHN/12.09/1/H1	Jin et al	Evolutionary history of the endemic strains of Chinese Measles virus	Unpublished	Genbank
JN635411	Measles	Pennsylvania.USA/20.09	Kirkness et al	Direct Submission	Submitted (30-AUG-2011) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Genbank
KJ755981	Measles	Zhejiang.CHN/16.10/2/H1	Jin et al	Evolutionary history of the endemic strains of Chinese Measles virus	Unpublished	Genbank
KJ755982	Measles	Zhejiang.CHN/10.11/2/H1	Jin et al	Evolutionary history of the endemic strains of Chinese Measles virus	Unpublished	Genbank
KT588921	Measles	Guizhou.CHN/29.13/H1	Zou et al	Unbiased metagenomic sequencing facilitated Measles virus identification in a 1-month infant with unexplained pneumonia	Unpublished	Genbank
KJ755979	Measles	Zhejiang.CHN/12.08/1/H1	Jin et al	Evolutionary history of the endemic strains of Chinese Measles virus	Unpublished	Genbank
KJ018970	Measles	BritishColumbia.CAN/12.10/1/H1	Gardy et al	Whole-Genome Sequencing of Measles Virus Genotypes H1 and D8 During Outbreaks of Infection Following the 2010 Olympic Winter Games Reveals Viral Transmission Routes	J. Infect. Dis. (2015) In press	Genbank
MN630020	Measles	Incheon.KOR/25.10/8/H1	Kim et al	Direct Submission	Submitted (30-OCT-2019) Pathogen Resource TF, Center for Infectious Diseases Research, Korea National Institute of Health, Korea Centers for Disease Control and Prevention, #200 Osongsaengmyeong 2-ro, Osong-eup, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do 28160, South Korea	Genbank
KC164758	Measles	Venice.ITA/06.11/1/G3	Franchin et al	Measles virus in Veneto region, Italy	Unpublished	Genbank
JN635408	Measles	New_Jersey.USA/45.05	Kirkness et al	Direct Submission	Submitted (30-AUG-2011) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Genbank
KT732214	Measles	Manchester.GBR/7.12/2/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KX838946	Measles	Calais.FRA/01.16/B3	Dina et al	Complete genome characterization of a wild-type measles virus isolated from a healthcare worker during a 2016 outbreak in a refugee settlement in France	Unpublished	Genbank
MZ615451	Measles	Wajir_South.KEN/07.20/2/B3	Said et al	Partial Genome Sequences of Measles Virus Isolated from Kenya	Unpublished	Genbank
MZ615449	Measles	Galole.KEN/06.20/B3	Said et al	Partial Genome Sequences of Measles Virus Isolated from Kenya	Unpublished	Genbank
MZ615450	Measles	Wajir_South.KEN/07.20/1/B3	Said et al	Partial Genome Sequences of Measles Virus Isolated from Kenya	Unpublished	Genbank
MZ615448	Measles	Bura.KEN/06.20/2/B3	Said et al	Partial Genome Sequences of Measles Virus Isolated from Kenya	Unpublished	Genbank
MZ615446	Measles	Bura.KEN/07.20/B3	Said et al	Partial Genome Sequences of Measles Virus Isolated from Kenya	Unpublished	Genbank
MZ615447	Measles	Bura.KEN/06.20/1/B3	Said et al	Partial Genome Sequences of Measles Virus Isolated from Kenya	Unpublished	Genbank
KT732218	Measles	Dartford.GBR/2.14/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732217	Measles	London.GBR/41.13/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732216	Measles	NewcastleuponTyne.GBR/35.13/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
MN630023	Measles	Mvs/Gyeongnam.KOR/29.13/2/B3	Kim et al	Direct Submission	Submitted (30-OCT-2019) Pathogen Resource TF, Center for Infectious Diseases Research, Korea National Institute of Health, Korea Centers for Disease Control and Prevention, #200 Osongsaengmyeong 2-ro, Osong-eup, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do 28160, South Korea	Genbank
KT732220	Measles	London.GBR/3.14/2/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KY969478	Measles	California.USA/08.14/3/B3	Espinosa et al	Direct Submission	Submitted (20-APR-2017) Viral and Rickettsial Disease Laboratory, California Department of Public Health, 850 Marina Bay Parkway, Richmond, CA 94804, USA	Genbank
KT732219	Measles	London.GBR/3.14/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
