Accession	Virus	Author	Publication_Title	Journal	Database
MH828707	Parainfluenza-1	Lu,L., Robertson,G., Ashworth,J., Pham Hong,A., Shi,T., Ivens,A., Thwaites,G., Baker,S. and Woolhouse,M.	Epidemiology and Phylogenetic Analysis of Viral Respiratory Infections in Vietnam	Front Microbiol 11, 833 (2020)	Genbank
MH006617	Parainfluenza-1	Linster,M., Do,L.A., Minh,N.N., Chen,Y., Zhe,Z., Tuan,T.A., Tuan,H.M., Su,Y.C., van Doorn,H.R., Moorthy,M. and Smith,G.J.	Clinical and Molecular Epidemiology of Human Parainfluenza Viruses 1-4 in Children from Viet Nam	Sci Rep 8 (1), 6833 (2018)	Genbank
MH006620	Parainfluenza-1	Linster,M., Do,L.A., Minh,N.N., Chen,Y., Zhe,Z., Tuan,T.A., Tuan,H.M., Su,Y.C., van Doorn,H.R., Moorthy,M. and Smith,G.J.	Clinical and Molecular Epidemiology of Human Parainfluenza Viruses 1-4 in Children from Viet Nam	Sci Rep 8 (1), 6833 (2018)	Genbank
KF530207	Parainfluenza-1	Lorenzi,H., Town,C., Halpin,R., Bera,J., Ransier,A., Fedorova,N., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Rebuffo-Scheer,C., Fan,J., He,J., Kehl,S.C., Lederboer,N., Jurgens,L.A., Bose,M.E., Beck,E.T., Kumar,S., Noyola,D.E., Wentworth,D.E. and Henrickson,K.J.	Direct Submission	Submitted (31-JUL-2013) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Genbank
KF530205	Parainfluenza-1	Lorenzi,H., Town,C., Halpin,R., Bera,J., Ransier,A., Fedorova,N., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Rebuffo-Scheer,C., Fan,J., He,J., Kehl,S.C., Lederboer,N., Jurgens,L.A., Bose,M.E., Beck,E.T., Kumar,S., Kok,T., Wentworth,D.E. and Henrickson,K.J.	Direct Submission	Submitted (31-JUL-2013) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Genbank
JQ901979	Parainfluenza-1	Beck,E.T., He,J., Nelson,M.I., Bose,M.E., Fan,J., Kumar,S. and Henrickson,K.J.	Genome sequencing and phylogenetic analysis of 39 human parainfluenza virus type 1 strains isolated from 1997-2010	PLoS ONE 7 (9), E46048 (2012)	Genbank
JQ901976	Parainfluenza-1	Beck,E.T., He,J., Nelson,M.I., Bose,M.E., Fan,J., Kumar,S. and Henrickson,K.J.	Genome sequencing and phylogenetic analysis of 39 human parainfluenza virus type 1 strains isolated from 1997-2010	PLoS ONE 7 (9), E46048 (2012)	Genbank
JQ901981	Parainfluenza-1	Beck,E.T., He,J., Nelson,M.I., Bose,M.E., Fan,J., Kumar,S. and Henrickson,K.J.	Genome sequencing and phylogenetic analysis of 39 human parainfluenza virus type 1 strains isolated from 1997-2010	PLoS ONE 7 (9), E46048 (2012)	Genbank
JQ901980	Parainfluenza-1	Beck,E.T., He,J., Nelson,M.I., Bose,M.E., Fan,J., Kumar,S. and Henrickson,K.J.	Genome sequencing and phylogenetic analysis of 39 human parainfluenza virus type 1 strains isolated from 1997-2010	PLoS ONE 7 (9), E46048 (2012)	Genbank
JQ901975	Parainfluenza-1	Beck,E.T., He,J., Nelson,M.I., Bose,M.E., Fan,J., Kumar,S. and Henrickson,K.J.	Genome sequencing and phylogenetic analysis of 39 human parainfluenza virus type 1 strains isolated from 1997-2010	PLoS ONE 7 (9), E46048 (2012)	Genbank
