Accession	Virus	Author	Publication_Title	Journal	Database
KY369866	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Direct Submission	Submitted (16-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue, Suite 320, Seattle, WA 98102, USA	Genbank
KY973560	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	Genbank
KY933411	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	Genbank
KY933414	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	Genbank
KY933415	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	Genbank
KY779600	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C. and Jerome,K.R.	genome sequences of viral positives at UW Virology	Unpublished	Genbank
KY779599	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C. and Jerome,K.R.	genome sequences of viral positives at UW Virology	Unpublished	Genbank
KY779606	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	Genbank
KY779613	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C. and Jerome,K.R.	genome sequences of viral positives at UW Virology	Unpublished	Genbank
KY933413	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	Unpublished	Genbank
KY369876	Parainfluenza-3	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Direct Submission	Submitted (17-DEC-2016) Lab Medicine, UW, 1616 Eastlake Avenue, Suite 320, Seattle, WA 98102, USA	Genbank
KX574707	Parainfluenza-3	Greninger,A.L.	Rapid metagenomic next-generation sequencing to inform viral infection control in real-time	Unpublished	Genbank
MF034892	Parainfluenza-3	Kothari,A., Burgess,M.J., Crescencio,J.C.R., Kennedy,J.L., Denson,J.L., Schwalm,K.C., Stoner,A.N., Kincaid,J.C., Davies,F.E. and Dinwiddie,D.L.	The role of next generation sequencing in infection prevention in human parainfluenza virus 3 infections in immunocompromised patients	J. Clin. Virol. 92, 53-55 (2017)	Genbank
