Strain	Accession	Genbank_Accession	Originating_Lab	Submitting_Lab	Author	Database	Virus
hCoV-19/Wuhan/Hu-1/2019	EPI_ISL_402125	MN908947.3	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al (https://dx.doi.org/10.1038/s41586-020-2008-3)	GISAID	sars2
hCoV-19/Guangdong/20SF1159/2020	EPI_ISL_428446		Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	School of Public Health, The University of Hong Kong	Bosheng Li et al	GISAID	sars2
hCoV-19/Japan/KP1/2020	EPI_ISL_10343139		Department of Clinical Laboratory, Kyoto University Hospital	Department of Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine	Yasufumi Matsumura et al	GISAID	sars2
hCoV-19/India/MH-1-27/2020	EPI_ISL_413522		Indian Council of Medical Research - National Institute of Virology	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Potdar et al (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)	GISAID	sars2
hCoV-19/Shandong/2020C1240500/2020	EPI_ISL_962543		Infectious Disease Control and Prevention Institute	Infectious Disease Control and Prevention Institute	Xiaolin Jiang et al	GISAID	sars2
hCoV-19/Thailand/63015565__2019/2020	EPI_ISL_12717953		Bamrasnaradura Infectious Disease Institute	Molecular HIV and EID, BIDI, DDC,Thai MOPH	Sumonmal Uttayamakul et al	GISAID	sars2
hCoV-19/Norway/1443/2020	EPI_ISL_417490		Oslo University Hospital, Department of Medical Microbiology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al	GISAID	sars2
hCoV-19/Taiwan/TSGH-01/2020	EPI_ISL_426629		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al	GISAID	sars2
hCoV-19/HongKong/CUHK-NC9207/2020	EPI_ISL_3066366		Department of Microbiology	Department of Microbiology	Zigui Chen et al	GISAID	sars2
hCoV-19/SouthKorea/KCDC2203/2020	EPI_ISL_510547		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al	GISAID	sars2
hCoV-19/Nigeria/LA-CV263/2020	EPI_ISL_729947		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A	GISAID	sars2
hCoV-19/SouthKorea/KCDC2034/2020	EPI_ISL_497955		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al	GISAID	sars2
hCoV-19/Colombia/QUI-INS-80663/2020	EPI_ISL_456128		Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico	Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine	Katherine Laiton-Donato et al A (https://dx.doi.org/10.1101/2020.06.02.20120782)	GISAID	sars2
hCoV-19/NewZealand/20VR2108/2020	EPI_ISL_456377	MZ332208.1	MedLab Central Ltd	Institute of Environmental Science and Research (ESR)	Matt Storey et al	GISAID	sars2
hCoV-19/Sweden/01_SE100_21CS505396/2020	EPI_ISL_3007185		Karolinska University Hospital Solna	Karolinska University Hospital	Jan Albert et al	GISAID	sars2
